Frase,Sentimiento,Etiqueta
la verdad la aplicación fue notable,Positivo,0
la atención estuvo una lata,Negativo,1
la experiencia estuvo excelente,Positivo,0
lamentablemente el proceso fue no recomendable,Negativo,1
la aplicación estuvo muy bueno,Positivo,0
en general el trámite fue me dejó contento,Positivo,0
lamentablemente el producto fue no recomendable,Negativo,1
en general el producto fue de pana,Positivo,0
la verdad la aplicación fue rápido y eficiente,Positivo,0
la verdad la aplicación fue muy conforme,Positivo,0
la verdad la atención fue genial,Positivo,0
la compra fue lento,Negativo,1
mi opinión es que la atención fue funcionó perfecto,Positivo,0
la aplicación fue lento,Negativo,1
lamentablemente la plataforma fue muy mala experiencia,Negativo,1
la plataforma estuvo pésimo,Negativo,1
la aplicación fue impecable,Positivo,0
lamentablemente la plataforma fue deficiente,Negativo,1
lamentablemente el sistema fue pura pérdida de tiempo,Negativo,1
el trámite fue mal atendido,Negativo,1
en general el sistema fue pulento,Positivo,0
lamentablemente el producto fue funciona mal,Negativo,1
lamentablemente el proceso fue mal atendido,Negativo,1
lamentablemente el sistema fue mal atendido,Negativo,1
mi experiencia con la aplicación fue pura pérdida de tiempo,Negativo,1
en general la compra fue muy mala experiencia,Negativo,1
mi experiencia con la plataforma fue penca,Negativo,1
la experiencia estuvo charcha,Negativo,1
en general la atención fue impresentable,Negativo,1
mi experiencia con la plataforma fue ineficiente,Negativo,1
mi experiencia con el producto fue mal atendido,Negativo,1
el trámite fue pésimo,Negativo,1
lamentablemente la experiencia fue me dejó molesto,Negativo,1
lamentablemente la plataforma fue no cumple,Negativo,1
la verdad el sistema fue bkn,Positivo,0
en general la plataforma fue bkn,Positivo,0
la compra fue genial,Positivo,0
mi opinión es que la experiencia fue bkn,Positivo,0
la atención fue malísimo,Negativo,1
la aplicación fue desastroso,Negativo,1
la aplicación estuvo frustrante,Negativo,1
en general el trámite fue impecable,Positivo,0
la plataforma fue ineficiente,Negativo,1
el proceso estuvo perfecto,Positivo,0
en general la plataforma fue no recomendable,Negativo,1
el trámite estuvo bkn,Positivo,0
el trámite estuvo impecable,Positivo,0
la verdad la atención fue me dejó contento,Positivo,0
en general la experiencia fue charcha,Negativo,1
la compra fue recomendable,Positivo,0
la verdad la compra fue vale la pena,Positivo,0
en general la aplicación fue todo bien,Positivo,0
mi experiencia con la atención fue nefasto,Negativo,1
la plataforma estuvo fome,Negativo,1
el proceso fue todo bien,Positivo,0
mi opinión es que la experiencia fue perfecto,Positivo,0
mi experiencia con el sistema fue charcha,Negativo,1
mi experiencia con la plataforma fue decepcionante,Negativo,1
lamentablemente la atención fue fome,Negativo,1
el servicio fue todo bien,Positivo,0
el proceso estuvo me dejó molesto,Negativo,1
el servicio fue mal ejecutado,Negativo,1
en general el producto fue la raja,Positivo,0
en general la plataforma fue decepcionante,Negativo,1
mi opinión es que la atención fue impecable,Positivo,0
en general el producto fue no recomendable,Negativo,1
lamentablemente el producto fue deficiente,Negativo,1
en general el servicio fue muy malo,Negativo,1
en general la compra fue impecable,Positivo,0
la atención fue lento,Negativo,1
mi experiencia con la aplicación fue callampa,Negativo,1
la atención estuvo filete,Positivo,0
la verdad la experiencia fue cumple totalmente,Positivo,0
el proceso fue frustrante,Negativo,1
la aplicación fue sin problemas,Positivo,0
en general la experiencia fue cumple totalmente,Positivo,0
en general el producto fue desastroso,Negativo,1
mi opinión es que la aplicación fue genial,Positivo,0
la verdad la experiencia fue recomendable,Positivo,0
mi experiencia con la experiencia fue deficiente,Negativo,1
en general la atención fue vale la pena,Positivo,0
la experiencia estuvo perfecto,Positivo,0
mi experiencia con el sistema fue impresentable,Negativo,1
en general el sistema fue nefasto,Negativo,1
mi opinión es que la compra fue vale la pena,Positivo,0
en general la compra fue recomendable,Positivo,0
lamentablemente el sistema fue malísimo,Negativo,1
mi opinión es que el servicio fue joya,Positivo,0
en general el servicio fue desastroso,Negativo,1
mi experiencia con la plataforma fue pura pérdida de tiempo,Negativo,1
en general la plataforma fue deficiente,Negativo,1
la plataforma fue perfecto,Positivo,0
el proceso fue mal atendido,Negativo,1
mi experiencia con el trámite fue pésimo,Negativo,1
la experiencia fue no cumple,Negativo,1
en general la aplicación fue decepcionante,Negativo,1
el proceso estuvo me dejó contento,Positivo,0
mi experiencia con la compra fue desastroso,Negativo,1
la plataforma fue horrible,Negativo,1
en general el producto fue no cumple,Negativo,1
el producto estuvo impresentable,Negativo,1
mi experiencia con el producto fue decepcionante,Negativo,1
el trámite fue bkn,Positivo,0
el servicio fue impresentable,Negativo,1
la verdad la experiencia fue todo bien,Positivo,0
la verdad la atención fue muy conforme,Positivo,0
en general la compra fue callampa,Negativo,1
la verdad la compra fue joya,Positivo,0
en general la compra fue rápido y eficiente,Positivo,0
lamentablemente el servicio fue nefasto,Negativo,1
la experiencia estuvo muy malo,Negativo,1
lamentablemente la experiencia fue no recomendable,Negativo,1
mi experiencia con la plataforma fue no recomendable,Negativo,1
el producto fue funcionó perfecto,Positivo,0
en general el producto fue fome,Negativo,1
en general el trámite fue deficiente,Negativo,1
mi opinión es que la atención fue perfecto,Positivo,0
mi opinión es que la atención fue todo bien,Positivo,0
el trámite fue muy bueno,Positivo,0
en general el trámite fue seco,Positivo,0
el producto fue seco,Positivo,0
mi opinión es que la plataforma fue bacán,Positivo,0
la experiencia fue charcha,Negativo,1
en general la plataforma fue seco,Positivo,0
lamentablemente la compra fue callampa,Negativo,1
mi experiencia con la plataforma fue horrible,Negativo,1
en general la aplicación fue impresentable,Negativo,1
en general el servicio fue callampa,Negativo,1
mi opinión es que el servicio fue recomendable,Positivo,0
la verdad el producto fue recomendable,Positivo,0
lamentablemente la compra fue malísimo,Negativo,1
la compra estuvo pura pérdida de tiempo,Negativo,1
en general la experiencia fue impresentable,Negativo,1
la atención estuvo me dejó contento,Positivo,0
el producto fue recomendable,Positivo,0
lamentablemente el producto fue fome,Negativo,1
lamentablemente el servicio fue frustrante,Negativo,1
mi experiencia con el servicio fue pésimo,Negativo,1
en general el trámite fue recomendable,Positivo,0
mi opinión es que el sistema fue bien logrado,Positivo,0
la aplicación estuvo notable,Positivo,0
mi opinión es que el producto fue seco,Positivo,0
mi opinión es que la plataforma fue impecable,Positivo,0
mi experiencia con la experiencia fue callampa,Negativo,1
la aplicación estuvo cumple totalmente,Positivo,0
mi opinión es que la experiencia fue joya,Positivo,0
la atención fue charcha,Negativo,1
la verdad el producto fue de pana,Positivo,0
la aplicación estuvo super bueno,Positivo,0
lamentablemente la aplicación fue una lata,Negativo,1
el proceso estuvo super bueno,Positivo,0
mi experiencia con el trámite fue decepcionante,Negativo,1
la verdad el producto fue vale la pena,Positivo,0
mi experiencia con el producto fue impresentable,Negativo,1
el trámite estuvo pésimo,Negativo,1
mi opinión es que el trámite fue seco,Positivo,0
la aplicación fue perfecto,Positivo,0
la aplicación fue callampa,Negativo,1
el producto fue muy bueno,Positivo,0
mi experiencia con el trámite fue horrible,Negativo,1
en general la plataforma fue fome,Negativo,1
en general el trámite fue de pana,Positivo,0
la atención estuvo no cumple,Negativo,1
el sistema estuvo impresentable,Negativo,1
el sistema estuvo nefasto,Negativo,1
mi opinión es que la atención fue pulento,Positivo,0
mi opinión es que el proceso fue recomendable,Positivo,0
el proceso estuvo decepcionante,Negativo,1
el proceso estuvo cumple totalmente,Positivo,0
la aplicación fue notable,Positivo,0
en general el sistema fue callampa,Negativo,1
en general el producto fue ineficiente,Negativo,1
mi experiencia con el trámite fue mal ejecutado,Negativo,1
lamentablemente la compra fue no recomendable,Negativo,1
en general la plataforma fue muy malo,Negativo,1
la verdad la atención fue seco,Positivo,0
la verdad el producto fue muy bueno,Positivo,0
la aplicación fue joya,Positivo,0
lamentablemente la atención fue penca,Negativo,1
mi experiencia con la plataforma fue no cumple,Negativo,1
mi opinión es que el trámite fue rápido y eficiente,Positivo,0
mi opinión es que la plataforma fue joya,Positivo,0
la verdad el sistema fue joya,Positivo,0
la verdad el proceso fue bkn,Positivo,0
mi opinión es que el servicio fue excelente,Positivo,0
en general el servicio fue recomendable,Positivo,0
el trámite estuvo callampa,Negativo,1
el servicio fue muy mala experiencia,Negativo,1
la aplicación fue malísimo,Negativo,1
la verdad el servicio fue excelente,Positivo,0
en general el servicio fue impresentable,Negativo,1
el producto estuvo lento,Negativo,1
la verdad el trámite fue sin problemas,Positivo,0
lamentablemente la compra fue deficiente,Negativo,1
mi opinión es que el servicio fue vale la pena,Positivo,0
el sistema fue funcionó perfecto,Positivo,0
el sistema fue funciona mal,Negativo,1
lamentablemente la aplicación fue impresentable,Negativo,1
lamentablemente la experiencia fue charcha,Negativo,1
la plataforma estuvo cumple totalmente,Positivo,0
el servicio fue joya,Positivo,0
mi experiencia con el proceso fue charcha,Negativo,1
lamentablemente el sistema fue fome,Negativo,1
mi experiencia con la experiencia fue una lata,Negativo,1
el sistema fue no recomendable,Negativo,1
la experiencia estuvo pura pérdida de tiempo,Negativo,1
en general la atención fue decepcionante,Negativo,1
el sistema fue recomendable,Positivo,0
el trámite fue bien logrado,Positivo,0
en general el proceso fue funciona mal,Negativo,1
la atención estuvo impresentable,Negativo,1
la experiencia estuvo funcionó perfecto,Positivo,0
la experiencia fue no recomendable,Negativo,1
mi experiencia con el proceso fue muy mala experiencia,Negativo,1
en general el proceso fue deficiente,Negativo,1
en general el sistema fue impresentable,Negativo,1
en general el sistema fue una lata,Negativo,1
el producto fue notable,Positivo,0
en general la aplicación fue lento,Negativo,1
en general la plataforma fue la raja,Positivo,0
lamentablemente la compra fue ineficiente,Negativo,1
la plataforma estuvo joya,Positivo,0
la atención fue cumple totalmente,Positivo,0
la verdad la plataforma fue recomendable,Positivo,0
el servicio fue perfecto,Positivo,0
lamentablemente la compra fue me dejó molesto,Negativo,1
la plataforma fue joya,Positivo,0
mi experiencia con el trámite fue callampa,Negativo,1
la verdad el servicio fue perfecto,Positivo,0
la verdad el proceso fue seco,Positivo,0
la experiencia fue todo bien,Positivo,0
en general la aplicación fue deficiente,Negativo,1
mi experiencia con la compra fue horrible,Negativo,1
la verdad la aplicación fue bien logrado,Positivo,0
la atención estuvo frustrante,Negativo,1
mi experiencia con la aplicación fue decepcionante,Negativo,1
el servicio estuvo rápido y eficiente,Positivo,0
en general el producto fue notable,Positivo,0
en general la aplicación fue mal atendido,Negativo,1
lamentablemente el servicio fue horrible,Negativo,1
en general la atención fue de pana,Positivo,0
mi experiencia con el sistema fue desastroso,Negativo,1
la atención fue una lata,Negativo,1
el trámite fue muy malo,Negativo,1
la atención fue la raja,Positivo,0
lamentablemente la compra fue charcha,Negativo,1
mi experiencia con la plataforma fue muy malo,Negativo,1
el producto fue no recomendable,Negativo,1
en general el trámite fue cumple totalmente,Positivo,0
en general la plataforma fue frustrante,Negativo,1
el servicio estuvo impecable,Positivo,0
la plataforma fue pésimo,Negativo,1
la verdad la plataforma fue impecable,Positivo,0
mi experiencia con la experiencia fue fome,Negativo,1
mi opinión es que la experiencia fue seco,Positivo,0
lamentablemente la compra fue muy mala experiencia,Negativo,1
la atención fue desastroso,Negativo,1
lamentablemente la experiencia fue no cumple,Negativo,1
en general el sistema fue de pana,Positivo,0
mi opinión es que el producto fue todo bien,Positivo,0
mi experiencia con la atención fue pésimo,Negativo,1
lamentablemente la plataforma fue lento,Negativo,1
la experiencia estuvo genial,Positivo,0
el producto estuvo mal atendido,Negativo,1
la verdad la aplicación fue recomendable,Positivo,0
la verdad la aplicación fue pulento,Positivo,0
en general la compra fue muy malo,Negativo,1
lamentablemente la compra fue no cumple,Negativo,1
la plataforma fue muy conforme,Positivo,0
en general el trámite fue una lata,Negativo,1
el producto estuvo de pana,Positivo,0
en general el trámite fue mal atendido,Negativo,1
mi experiencia con el trámite fue malísimo,Negativo,1
mi experiencia con el proceso fue una lata,Negativo,1
la verdad la compra fue todo bien,Positivo,0
el producto fue muy mala experiencia,Negativo,1
la plataforma fue penca,Negativo,1
en general la experiencia fue super bueno,Positivo,0
la plataforma fue pura pérdida de tiempo,Negativo,1
el proceso estuvo no cumple,Negativo,1
mi opinión es que el trámite fue muy conforme,Positivo,0
lamentablemente la atención fue decepcionante,Negativo,1
mi opinión es que la experiencia fue excelente,Positivo,0
mi experiencia con la plataforma fue funciona mal,Negativo,1
mi experiencia con la aplicación fue horrible,Negativo,1
el producto fue vale la pena,Positivo,0
en general el trámite fue muy bueno,Positivo,0
mi opinión es que la compra fue impecable,Positivo,0
en general la aplicación fue notable,Positivo,0
lamentablemente el producto fue charcha,Negativo,1
el proceso fue impresentable,Negativo,1
la atención fue bien logrado,Positivo,0
el proceso estuvo funciona mal,Negativo,1
en general el producto fue una lata,Negativo,1
en general el sistema fue joya,Positivo,0
la atención estuvo funciona mal,Negativo,1
el proceso fue fome,Negativo,1
en general la experiencia fue me dejó molesto,Negativo,1
el sistema estuvo bien logrado,Positivo,0
mi opinión es que el servicio fue muy conforme,Positivo,0
mi experiencia con la compra fue nefasto,Negativo,1
el trámite fue lento,Negativo,1
la plataforma estuvo nefasto,Negativo,1
en general el sistema fue funciona mal,Negativo,1
la aplicación estuvo decepcionante,Negativo,1
el producto estuvo sin problemas,Positivo,0
mi opinión es que el servicio fue me dejó contento,Positivo,0
lamentablemente la plataforma fue nefasto,Negativo,1
mi opinión es que la experiencia fue todo bien,Positivo,0
la experiencia estuvo filete,Positivo,0
la experiencia fue desastroso,Negativo,1
el sistema fue de pana,Positivo,0
el proceso estuvo frustrante,Negativo,1
la experiencia fue genial,Positivo,0
el sistema fue me dejó contento,Positivo,0
la experiencia fue ineficiente,Negativo,1
el producto estuvo genial,Positivo,0
en general el producto fue bien logrado,Positivo,0
la compra estuvo notable,Positivo,0
en general la aplicación fue pésimo,Negativo,1
en general el proceso fue horrible,Negativo,1
la verdad el trámite fue notable,Positivo,0
la verdad el trámite fue excelente,Positivo,0
el proceso estuvo pura pérdida de tiempo,Negativo,1
la compra fue notable,Positivo,0
la verdad la experiencia fue joya,Positivo,0
lamentablemente la experiencia fue callampa,Negativo,1
la verdad la compra fue bkn,Positivo,0
mi opinión es que la aplicación fue la raja,Positivo,0
la verdad el servicio fue filete,Positivo,0
mi opinión es que el proceso fue me dejó contento,Positivo,0
el proceso estuvo pésimo,Negativo,1
lamentablemente la plataforma fue mal atendido,Negativo,1
lamentablemente la experiencia fue una lata,Negativo,1
lamentablemente la plataforma fue pésimo,Negativo,1
mi experiencia con la compra fue penca,Negativo,1
la experiencia estuvo fome,Negativo,1
en general la experiencia fue ineficiente,Negativo,1
mi opinión es que la atención fue super bueno,Positivo,0
la verdad el sistema fue cumple totalmente,Positivo,0
en general el proceso fue vale la pena,Positivo,0
la verdad la experiencia fue impecable,Positivo,0
mi experiencia con el producto fue funciona mal,Negativo,1
el proceso estuvo fome,Negativo,1
mi experiencia con el trámite fue penca,Negativo,1
en general el trámite fue ineficiente,Negativo,1
el servicio fue desastroso,Negativo,1
la compra estuvo decepcionante,Negativo,1
mi opinión es que la compra fue bacán,Positivo,0
mi experiencia con la compra fue una lata,Negativo,1
la aplicación fue bkn,Positivo,0
la verdad la aplicación fue de pana,Positivo,0
la experiencia fue penca,Negativo,1
la verdad la aplicación fue impecable,Positivo,0
en general el sistema fue pura pérdida de tiempo,Negativo,1
la aplicación fue todo bien,Positivo,0
en general la atención fue recomendable,Positivo,0
mi opinión es que la atención fue excelente,Positivo,0
el trámite fue filete,Positivo,0
mi experiencia con la atención fue fome,Negativo,1
la experiencia estuvo no recomendable,Negativo,1
en general la plataforma fue pésimo,Negativo,1
la plataforma fue rápido y eficiente,Positivo,0
la verdad la atención fue bacán,Positivo,0
la experiencia fue super bueno,Positivo,0
lamentablemente la compra fue fome,Negativo,1
en general la plataforma fue pulento,Positivo,0
el servicio estuvo deficiente,Negativo,1
en general la experiencia fue notable,Positivo,0
la verdad el producto fue bkn,Positivo,0
lamentablemente el servicio fue malísimo,Negativo,1
en general la aplicación fue ineficiente,Negativo,1
mi experiencia con el servicio fue charcha,Negativo,1
en general la atención fue impecable,Positivo,0
el producto estuvo impecable,Positivo,0
el trámite estuvo seco,Positivo,0
el producto estuvo muy mala experiencia,Negativo,1
mi opinión es que la aplicación fue bien logrado,Positivo,0
en general el proceso fue charcha,Negativo,1
mi opinión es que la atención fue notable,Positivo,0
la experiencia estuvo mal ejecutado,Negativo,1
en general la plataforma fue funciona mal,Negativo,1
el proceso fue muy mala experiencia,Negativo,1
la aplicación fue deficiente,Negativo,1
mi experiencia con el servicio fue muy malo,Negativo,1
la compra estuvo sin problemas,Positivo,0
en general el producto fue charcha,Negativo,1
mi opinión es que el producto fue funcionó perfecto,Positivo,0
el trámite estuvo la raja,Positivo,0
mi opinión es que el trámite fue notable,Positivo,0
lamentablemente la aplicación fue pésimo,Negativo,1
en general la atención fue muy malo,Negativo,1
lamentablemente el producto fue una lata,Negativo,1
la experiencia fue pésimo,Negativo,1
el trámite estuvo nefasto,Negativo,1
la verdad el servicio fue cumple totalmente,Positivo,0
mi experiencia con la experiencia fue muy malo,Negativo,1
la experiencia estuvo de pana,Positivo,0
la compra fue ineficiente,Negativo,1
en general el proceso fue nefasto,Negativo,1
el sistema fue nefasto,Negativo,1
mi opinión es que la plataforma fue pulento,Positivo,0
en general la plataforma fue todo bien,Positivo,0
la experiencia estuvo cumple totalmente,Positivo,0
el servicio estuvo no cumple,Negativo,1
el sistema fue notable,Positivo,0
la atención fue deficiente,Negativo,1
la aplicación fue una lata,Negativo,1
mi experiencia con la plataforma fue deficiente,Negativo,1
la verdad la atención fue rápido y eficiente,Positivo,0
mi experiencia con el trámite fue funciona mal,Negativo,1
el servicio fue vale la pena,Positivo,0
la verdad la experiencia fue de pana,Positivo,0
el sistema fue rápido y eficiente,Positivo,0
el servicio estuvo muy malo,Negativo,1
mi experiencia con el proceso fue deficiente,Negativo,1
la experiencia fue joya,Positivo,0
la compra fue super bueno,Positivo,0
lamentablemente la experiencia fue desastroso,Negativo,1
la experiencia fue funcionó perfecto,Positivo,0
en general el proceso fue bacán,Positivo,0
en general el trámite fue filete,Positivo,0
mi experiencia con el trámite fue fome,Negativo,1
el producto estuvo no cumple,Negativo,1
mi experiencia con la plataforma fue charcha,Negativo,1
la experiencia estuvo seco,Positivo,0
lamentablemente el trámite fue no cumple,Negativo,1
mi opinión es que la aplicación fue super bueno,Positivo,0
la verdad la compra fue la raja,Positivo,0
la verdad el producto fue excelente,Positivo,0
mi experiencia con el sistema fue lento,Negativo,1
lamentablemente la aplicación fue mal atendido,Negativo,1
lamentablemente la experiencia fue nefasto,Negativo,1
el trámite fue super bueno,Positivo,0
el servicio fue recomendable,Positivo,0
el producto fue malísimo,Negativo,1
el producto fue nefasto,Negativo,1
lamentablemente la atención fue impresentable,Negativo,1
en general la experiencia fue lento,Negativo,1
la atención fue me dejó contento,Positivo,0
la experiencia fue decepcionante,Negativo,1
en general la experiencia fue no recomendable,Negativo,1
el proceso fue muy bueno,Positivo,0
mi opinión es que la compra fue la raja,Positivo,0
en general la atención fue malísimo,Negativo,1
mi opinión es que la plataforma fue todo bien,Positivo,0
la plataforma estuvo funcionó perfecto,Positivo,0
la verdad la aplicación fue perfecto,Positivo,0
mi opinión es que la experiencia fue vale la pena,Positivo,0
