Frase,Sentimiento,Etiqueta
el trámite estuvo de lo mejor,Positivo,0
el servicio estuvo rápido y eficiente,Positivo,0
la aplicación fue de lo mejor,Positivo,0
la experiencia fue cumple totalmente,Positivo,0
el sistema estuvo funciona mal,Negativo,1
en general el proceso fue quedé muy conforme,Positivo,0
la compra estuvo nada recomendable,Negativo,1
el trámite fue vale la pena,Positivo,0
mi experiencia con el producto fue funciona perfecto,Positivo,0
mi experiencia con el servicio fue quedé muy conforme,Positivo,0
mi experiencia con el servicio fue horrible,Negativo,1
en general la compra fue me dejó molesto,Negativo,1
la atención estuvo de lo mejor,Positivo,0
en general el proceso fue está chido,Positivo,0
el sistema fue muy buena experiencia,Positivo,0
la plataforma fue pésimo servicio,Negativo,1
en general la plataforma fue me hizo perder tiempo,Negativo,1
el sistema estuvo todo salió bien,Positivo,0
mi experiencia con la experiencia fue de primera,Positivo,0
en general la aplicación fue vale la pena,Positivo,0
la plataforma fue vale la pena,Positivo,0
mi experiencia con la experiencia fue está horrible,Negativo,1
lamentablemente la aplicación fue una porquería,Negativo,1
lamentablemente el sistema fue no cumplió,Negativo,1
en general el proceso fue me sacó de quicio,Negativo,1
en general el servicio fue no lo recomiendo,Negativo,1
la compra fue está horrible,Negativo,1
la compra estuvo no lo recomiendo,Negativo,1
mi experiencia con la aplicación fue funciona fatal,Negativo,1
el proceso fue muy malo,Negativo,1
la compra fue una pérdida de tiempo,Negativo,1
la plataforma fue una porquería,Negativo,1
en general el trámite fue muy bueno,Positivo,0
el trámite estuvo terrible,Negativo,1
la atención fue sin problemas,Positivo,0
mi experiencia con el servicio fue funciona al cien,Positivo,0
en general la atención fue mala experiencia,Negativo,1
en general el proceso fue pésimo servicio,Negativo,1
el producto estuvo recomendadísimo,Positivo,0
en general la plataforma fue funciona fatal,Negativo,1
en general la aplicación fue me hizo perder tiempo,Negativo,1
mi experiencia con el sistema fue me sacó de quicio,Negativo,1
la atención estuvo me dejó contento,Positivo,0
en general la compra fue genial,Positivo,0
el servicio estuvo muy malo,Negativo,1
mi experiencia con el producto fue muy bien hecho,Positivo,0
mi experiencia con la atención fue rápido y eficiente,Positivo,0
el producto estuvo me hizo perder tiempo,Negativo,1
en general la aplicación fue excelente,Positivo,0
el trámite estuvo está chido,Positivo,0
la experiencia fue de primera,Positivo,0
la verdad la atención fue funciona perfecto,Positivo,0
mi experiencia con la aplicación fue fatal,Negativo,1
la compra estuvo malísimo,Negativo,1
en general el producto fue me sorprendió,Positivo,0
mi experiencia con el servicio fue todo salió excelente,Positivo,0
en general el servicio fue rápido y eficiente,Positivo,0
la experiencia estuvo todo de lujo,Positivo,0
el trámite fue una joya,Positivo,0
la plataforma fue rápido y eficiente,Positivo,0
lamentablemente la atención fue muy chafa,Negativo,1
mi experiencia con el producto fue genial,Positivo,0
en general la aplicación fue muy malo,Negativo,1
la verdad el producto fue rápido y eficiente,Positivo,0
la plataforma estuvo terrible,Negativo,1
en general el proceso fue muy satisfecho,Positivo,0
la verdad el sistema fue funciona al cien,Positivo,0
lamentablemente la plataforma fue muy mala atención,Negativo,1
el proceso estuvo muy malo,Negativo,1
la verdad el trámite fue funciona al cien,Positivo,0
el producto fue cumple totalmente,Positivo,0
mi experiencia con el sistema fue me fue excelente,Positivo,0
en general la atención fue una porquería,Negativo,1
el proceso estuvo todo salió excelente,Positivo,0
el producto estuvo me fue excelente,Positivo,0
el servicio estuvo me sorprendió,Positivo,0
lamentablemente la atención fue no sirve,Negativo,1
la atención estuvo muy recomendable,Positivo,0
en general el servicio fue genial,Positivo,0
la compra fue muy lento,Negativo,1
en general la atención fue muy chafa,Negativo,1
el producto estuvo nada recomendable,Negativo,1
la aplicación fue muy chafa,Negativo,1
en general la aplicación fue fatal,Negativo,1
mi experiencia con el producto fue todo perfecto,Positivo,0
en general la experiencia fue rápido y eficiente,Positivo,0
mi experiencia con la compra fue excelente,Positivo,0
la compra fue no cumplió,Negativo,1
la atención estuvo me sacó de quicio,Negativo,1
la verdad el proceso fue excelente,Positivo,0
el sistema estuvo mala experiencia,Negativo,1
mi experiencia con la plataforma fue una porquería,Negativo,1
lamentablemente el producto fue mala experiencia,Negativo,1
mi experiencia con la plataforma fue muy buena experiencia,Positivo,0
mi experiencia con la aplicación fue sin problemas,Positivo,0
la verdad la experiencia fue excelente,Positivo,0
en general la atención fue genial,Positivo,0
mi experiencia con el producto fue muy mala atención,Negativo,1
lamentablemente la experiencia fue un desastre,Negativo,1
la plataforma estuvo rápido y eficiente,Positivo,0
en general el trámite fue una pérdida de tiempo,Negativo,1
la verdad el trámite fue jala bien,Positivo,0
la verdad la atención fue excelente,Positivo,0
lamentablemente el servicio fue me fue mal,Negativo,1
el servicio fue vale la pena,Positivo,0
lamentablemente el servicio fue me decepcionó,Negativo,1
mi experiencia con la plataforma fue muy lento,Negativo,1
mi experiencia con la compra fue fatal,Negativo,1
la atención fue quedé muy conforme,Positivo,0
lamentablemente la plataforma fue funciona mal,Negativo,1
el trámite fue excelente,Positivo,0
en general el sistema fue quedé muy conforme,Positivo,0
la aplicación estuvo todo salió bien,Positivo,0
lamentablemente el sistema fue un desastre,Negativo,1
el sistema estuvo decepcionante,Negativo,1
la aplicación estuvo bien padre,Positivo,0
el proceso estuvo muy buen servicio,Positivo,0
mi experiencia con el producto fue recomendadísimo,Positivo,0
la verdad la experiencia fue jala bien,Positivo,0
en general la plataforma fue me dejó satisfecho,Positivo,0
el servicio fue frustrante,Negativo,1
la aplicación fue muy malo,Negativo,1
mi experiencia con la plataforma fue muy bien hecho,Positivo,0
el sistema fue pésimo servicio,Negativo,1
el sistema fue quedé muy conforme,Positivo,0
mi experiencia con la aplicación fue muy chafa,Negativo,1
lamentablemente el proceso fue una porquería,Negativo,1
mi experiencia con la plataforma fue me fue excelente,Positivo,0
la verdad el servicio fue vale la pena,Positivo,0
el servicio estuvo me fue excelente,Positivo,0
mi experiencia con la aplicación fue muy bien hecho,Positivo,0
en general el sistema fue me dejó contento,Positivo,0
el trámite estuvo me encantó,Positivo,0
en general la aplicación fue recomendadísimo,Positivo,0
el proceso fue funciona perfecto,Positivo,0
mi experiencia con el trámite fue malísimo,Negativo,1
el producto estuvo no lo recomiendo,Negativo,1
lamentablemente el sistema fue me hizo perder tiempo,Negativo,1
lamentablemente la aplicación fue nada recomendable,Negativo,1
mi experiencia con el trámite fue muy bien logrado,Positivo,0
en general la experiencia fue decepcionante,Negativo,1
el proceso estuvo nada recomendable,Negativo,1
en general el sistema fue no sirve,Negativo,1
el proceso estuvo todo salió bien,Positivo,0
mi experiencia con la compra fue de primera,Positivo,0
mi experiencia con el trámite fue recomendadísimo,Positivo,0
la plataforma estuvo funciona al cien,Positivo,0
mi experiencia con la atención fue genial,Positivo,0
el proceso estuvo cumple totalmente,Positivo,0
la compra fue me dejó satisfecho,Positivo,0
mi experiencia con la atención fue jala bien,Positivo,0
el trámite estuvo muy malo,Negativo,1
en general el trámite fue muy chafa,Negativo,1
el proceso fue muy mala atención,Negativo,1
mi experiencia con la compra fue nada recomendable,Negativo,1
en general el sistema fue un desastre,Negativo,1
el producto estuvo muy mala atención,Negativo,1
en general la experiencia fue cumple totalmente,Positivo,0
la aplicación estuvo fatal,Negativo,1
lamentablemente la aplicación fue horrible,Negativo,1
mi experiencia con el proceso fue muy mal hecho,Negativo,1
el proceso fue me fue mal,Negativo,1
mi experiencia con la compra fue bien padre,Positivo,0
la plataforma fue me dejó molesto,Negativo,1
el trámite fue no lo recomiendo,Negativo,1
mi experiencia con el sistema fue mal atendido,Negativo,1
en general la compra fue sin problemas,Positivo,0
la plataforma estuvo excelente,Positivo,0
mi experiencia con la atención fue está chido,Positivo,0
mi experiencia con la plataforma fue muy bien logrado,Positivo,0
el trámite fue mal atendido,Negativo,1
la atención fue terrible,Negativo,1
mi experiencia con el proceso fue frustrante,Negativo,1
mi experiencia con el trámite fue de primera,Positivo,0
el servicio fue funciona mal,Negativo,1
el servicio fue no lo recomiendo,Negativo,1
mi experiencia con el producto fue me sacó de quicio,Negativo,1
en general el proceso fue padrísimo,Positivo,0
en general la plataforma fue vale la pena,Positivo,0
el proceso estuvo una pérdida de tiempo,Negativo,1
mi experiencia con la plataforma fue una maravilla,Positivo,0
el servicio fue fatal,Negativo,1
la aplicación estuvo padrísimo,Positivo,0
en general el servicio fue mal atendido,Negativo,1
el servicio fue cumple totalmente,Positivo,0
en general el sistema fue me encantó,Positivo,0
en general el producto fue me encantó,Positivo,0
la verdad el servicio fue muy buena experiencia,Positivo,0
la verdad la plataforma fue está chido,Positivo,0
la plataforma estuvo funciona fatal,Negativo,1
lamentablemente el servicio fue pésimo,Negativo,1
el proceso fue muy buen servicio,Positivo,0
lamentablemente la atención fue malísimo,Negativo,1
el sistema fue bien padre,Positivo,0
mi experiencia con la compra fue horrible,Negativo,1
la verdad el proceso fue genial,Positivo,0
la compra fue muy bien hecho,Positivo,0
lamentablemente la aplicación fue decepcionante,Negativo,1
mi experiencia con el servicio fue muy malo,Negativo,1
la verdad la atención fue muy bien logrado,Positivo,0
en general el producto fue todo salió excelente,Positivo,0
la verdad el proceso fue de lo mejor,Positivo,0
en general el trámite fue me sacó de quicio,Negativo,1
la verdad la compra fue muy buen servicio,Positivo,0
la verdad el sistema fue sin problemas,Positivo,0
el servicio fue muy flojo,Negativo,1
el trámite estuvo padrísimo,Positivo,0
en general la atención fue cumple totalmente,Positivo,0
mi experiencia con la atención fue muy bien logrado,Positivo,0
lamentablemente la plataforma fue muy flojo,Negativo,1
en general la aplicación fue horrible,Negativo,1
la experiencia estuvo una basura,Negativo,1
mi experiencia con el sistema fue muy buena experiencia,Positivo,0
mi experiencia con el producto fue pésimo,Negativo,1
la verdad la atención fue de primera,Positivo,0
la atención fue muy bien logrado,Positivo,0
el proceso fue funciona mal,Negativo,1
la verdad el producto fue padrísimo,Positivo,0
la experiencia fue todo perfecto,Positivo,0
en general la plataforma fue muy bien logrado,Positivo,0
mi experiencia con el servicio fue me dejó satisfecho,Positivo,0
la atención estuvo muy buen servicio,Positivo,0
la verdad la experiencia fue muy buena experiencia,Positivo,0
en general la aplicación fue funciona mal,Negativo,1
lamentablemente el sistema fue está horrible,Negativo,1
el servicio fue me hizo perder tiempo,Negativo,1
la compra estuvo padrísimo,Positivo,0
mi experiencia con el proceso fue me dejó satisfecho,Positivo,0
en general el servicio fue está chido,Positivo,0
mi experiencia con la aplicación fue me decepcionó,Negativo,1
mi experiencia con la atención fue de primera,Positivo,0
el sistema fue excelente,Positivo,0
en general la experiencia fue bien padre,Positivo,0
el producto fue fatal,Negativo,1
el sistema estuvo me sorprendió,Positivo,0
la aplicación estuvo un desastre,Negativo,1
mi experiencia con el trámite fue una basura,Negativo,1
la experiencia estuvo recomendadísimo,Positivo,0
mi experiencia con el servicio fue me encantó,Positivo,0
la experiencia estuvo jala bien,Positivo,0
en general la experiencia fue una basura,Negativo,1
mi experiencia con la plataforma fue nada recomendable,Negativo,1
la plataforma estuvo muy deficiente,Negativo,1
la plataforma fue muy buena experiencia,Positivo,0
la verdad la experiencia fue me gustó mucho,Positivo,0
el servicio fue muy mal hecho,Negativo,1
la verdad la experiencia fue me encantó,Positivo,0
la verdad el servicio fue muy satisfecho,Positivo,0
en general el producto fue muy bueno,Positivo,0
la aplicación fue me sacó de quicio,Negativo,1
la verdad el trámite fue de primera,Positivo,0
en general la plataforma fue muy recomendable,Positivo,0
en general el sistema fue nada recomendable,Negativo,1
en general el proceso fue funciona perfecto,Positivo,0
mi experiencia con la plataforma fue rápido y eficiente,Positivo,0
mi experiencia con la plataforma fue terrible,Negativo,1
lamentablemente la compra fue muy mal hecho,Negativo,1
la aplicación fue funciona mal,Negativo,1
la verdad el sistema fue genial,Positivo,0
en general la plataforma fue funciona mal,Negativo,1
mi experiencia con el producto fue me dejó contento,Positivo,0
en general la aplicación fue una basura,Negativo,1
lamentablemente la experiencia fue funciona mal,Negativo,1
la experiencia estuvo una joya,Positivo,0
en general la aplicación fue de primera,Positivo,0
la verdad la atención fue padrísimo,Positivo,0
mi experiencia con el sistema fue experiencia horrible,Negativo,1
la compra estuvo terrible,Negativo,1
la compra fue muy bien logrado,Positivo,0
la experiencia fue no lo recomiendo,Negativo,1
la compra fue funciona al cien,Positivo,0
la experiencia estuvo de primera,Positivo,0
la atención fue todo perfecto,Positivo,0
la atención estuvo no sirve,Negativo,1
la plataforma estuvo todo salió bien,Positivo,0
el sistema estuvo me dejó satisfecho,Positivo,0
mi experiencia con la aplicación fue de lo mejor,Positivo,0
en general el sistema fue está chido,Positivo,0
la aplicación fue muy mala atención,Negativo,1
mi experiencia con la atención fue muy chafa,Negativo,1
la experiencia estuvo no cumplió,Negativo,1
en general el sistema fue todo de lujo,Positivo,0
en general el servicio fue recomendadísimo,Positivo,0
la compra estuvo todo salió bien,Positivo,0
en general el trámite fue quedé muy conforme,Positivo,0
la verdad el trámite fue muy bueno,Positivo,0
mi experiencia con el proceso fue bien padre,Positivo,0
la atención estuvo cumple totalmente,Positivo,0
la aplicación estuvo muy buen servicio,Positivo,0
lamentablemente la plataforma fue fatal,Negativo,1
el producto estuvo muy lento,Negativo,1
la experiencia fue muy buen servicio,Positivo,0
en general el producto fue mal atendido,Negativo,1
mi experiencia con el proceso fue excelente,Positivo,0
lamentablemente la experiencia fue me decepcionó,Negativo,1
en general el trámite fue me dejó satisfecho,Positivo,0
en general la atención fue muy lento,Negativo,1
mi experiencia con la compra fue me hizo perder tiempo,Negativo,1
la verdad la atención fue muy bueno,Positivo,0
el servicio fue está horrible,Negativo,1
en general el proceso fue muy deficiente,Negativo,1
en general la atención fue muy mala atención,Negativo,1
mi experiencia con la atención fue mal atendido,Negativo,1
mi experiencia con la compra fue pésimo,Negativo,1
la plataforma fue recomendadísimo,Positivo,0
el proceso estuvo todo perfecto,Positivo,0
mi experiencia con el servicio fue malísimo,Negativo,1
en general la plataforma fue de lo mejor,Positivo,0
la aplicación fue funciona perfecto,Positivo,0
mi experiencia con la experiencia fue me gustó mucho,Positivo,0
mi experiencia con el servicio fue padrísimo,Positivo,0
la compra estuvo no cumplió,Negativo,1
la verdad el servicio fue me dejó satisfecho,Positivo,0
el sistema estuvo cumple totalmente,Positivo,0
la atención estuvo todo de lujo,Positivo,0
en general la plataforma fue quedé muy conforme,Positivo,0
la atención estuvo está horrible,Negativo,1
el proceso estuvo pésimo servicio,Negativo,1
mi experiencia con el trámite fue muy recomendable,Positivo,0
en general la atención fue frustrante,Negativo,1
en general la experiencia fue muy recomendable,Positivo,0
en general el producto fue mala experiencia,Negativo,1
la verdad la experiencia fue una maravilla,Positivo,0
la compra estuvo me fue excelente,Positivo,0
el trámite estuvo me hizo perder tiempo,Negativo,1
la aplicación estuvo jala bien,Positivo,0
en general la compra fue me dejó satisfecho,Positivo,0
mi experiencia con la atención fue muy buen servicio,Positivo,0
en general la plataforma fue rápido y eficiente,Positivo,0
la atención fue no sirve,Negativo,1
el sistema estuvo una pérdida de tiempo,Negativo,1
la verdad el servicio fue de primera,Positivo,0
la atención estuvo muy buena experiencia,Positivo,0
lamentablemente la atención fue me hizo perder tiempo,Negativo,1
lamentablemente la atención fue me sacó de quicio,Negativo,1
en general el servicio fue todo de lujo,Positivo,0
la experiencia fue está chido,Positivo,0
el servicio estuvo de primera,Positivo,0
el sistema estuvo terrible,Negativo,1
mi experiencia con la experiencia fue pésimo servicio,Negativo,1
mi experiencia con la atención fue me sorprendió,Positivo,0
lamentablemente el producto fue no vale la pena,Negativo,1
lamentablemente el trámite fue muy malo,Negativo,1
el producto fue me dejó molesto,Negativo,1
mi experiencia con la experiencia fue una maravilla,Positivo,0
mi experiencia con el servicio fue muy bien logrado,Positivo,0
el trámite fue recomendadísimo,Positivo,0
la compra estuvo todo salió excelente,Positivo,0
la verdad la atención fue una maravilla,Positivo,0
en general el proceso fue muy bien logrado,Positivo,0
el trámite fue de lo mejor,Positivo,0
en general el servicio fue terrible,Negativo,1
mi experiencia con el producto fue una pérdida de tiempo,Negativo,1
en general el trámite fue no lo recomiendo,Negativo,1
la experiencia estuvo funciona al cien,Positivo,0
en general el proceso fue cumple totalmente,Positivo,0
la verdad el producto fue recomendadísimo,Positivo,0
en general el producto fue muy lento,Negativo,1
la verdad el servicio fue una maravilla,Positivo,0
mi experiencia con el trámite fue de lo mejor,Positivo,0
en general la compra fue fatal,Negativo,1
la compra estuvo muy bueno,Positivo,0
el trámite estuvo funciona mal,Negativo,1
lamentablemente el sistema fue muy deficiente,Negativo,1
lamentablemente el servicio fue no cumplió,Negativo,1
en general el sistema fue me fue excelente,Positivo,0
la aplicación estuvo está horrible,Negativo,1
la compra fue terrible,Negativo,1
lamentablemente la aplicación fue pésimo,Negativo,1
la compra fue una basura,Negativo,1
el servicio fue muy bien logrado,Positivo,0
en general la aplicación fue una maravilla,Positivo,0
el producto fue muy chafa,Negativo,1
el producto fue funciona fatal,Negativo,1
lamentablemente la aplicación fue frustrante,Negativo,1
el producto estuvo mal atendido,Negativo,1
en general el servicio fue funciona mal,Negativo,1
mi experiencia con el trámite fue fatal,Negativo,1
mi experiencia con el trámite fue experiencia horrible,Negativo,1
la verdad la atención fue bien padre,Positivo,0
en general el trámite fue genial,Positivo,0
mi experiencia con la atención fue sin problemas,Positivo,0
en general el proceso fue no lo recomiendo,Negativo,1
el producto estuvo sin problemas,Positivo,0
el trámite estuvo me dejó satisfecho,Positivo,0
mi experiencia con el servicio fue bien padre,Positivo,0
la verdad el trámite fue muy bien hecho,Positivo,0
lamentablemente el producto fue me sacó de quicio,Negativo,1
mi experiencia con el servicio fue muy buen servicio,Positivo,0
mi experiencia con la atención fue muy recomendable,Positivo,0
el producto estuvo funciona perfecto,Positivo,0
la compra fue bien padre,Positivo,0
el trámite estuvo mala experiencia,Negativo,1
mi experiencia con el proceso fue una joya,Positivo,0
en general la compra fue malísimo,Negativo,1
en general la compra fue muy deficiente,Negativo,1
la verdad la experiencia fue genial,Positivo,0
el servicio estuvo no cumplió,Negativo,1
el sistema estuvo nada recomendable,Negativo,1
mi experiencia con la plataforma fue muy bueno,Positivo,0
la experiencia fue me sacó de quicio,Negativo,1
la aplicación fue una basura,Negativo,1
la compra fue una porquería,Negativo,1
la aplicación estuvo excelente,Positivo,0
el sistema estuvo pésimo,Negativo,1
la experiencia estuvo me sacó de quicio,Negativo,1
en general el sistema fue jala bien,Positivo,0
el servicio fue todo salió bien,Positivo,0
en general la aplicación fue muy mal hecho,Negativo,1
lamentablemente el sistema fue muy flojo,Negativo,1
mi experiencia con el trámite fue una pérdida de tiempo,Negativo,1
en general la experiencia fue muy buena experiencia,Positivo,0
lamentablemente el trámite fue me dejó molesto,Negativo,1
la verdad la atención fue me encantó,Positivo,0
el proceso estuvo me dejó contento,Positivo,0
el proceso fue muy deficiente,Negativo,1
el proceso estuvo recomendadísimo,Positivo,0
el sistema fue está horrible,Negativo,1
la compra fue decepcionante,Negativo,1
el proceso estuvo un desastre,Negativo,1
en general la atención fue todo de lujo,Positivo,0
la atención estuvo me sorprendió,Positivo,0
mi experiencia con la experiencia fue muy bueno,Positivo,0
mi experiencia con la plataforma fue muy mal hecho,Negativo,1
en general la plataforma fue muy satisfecho,Positivo,0
en general el trámite fue no sirve,Negativo,1
el trámite estuvo todo de lujo,Positivo,0
el producto fue muy buen servicio,Positivo,0
la plataforma fue no vale la pena,Negativo,1
en general la compra fue muy mala atención,Negativo,1
en general el proceso fue me dejó satisfecho,Positivo,0
el servicio fue muy deficiente,Negativo,1
el trámite fue me dejó satisfecho,Positivo,0
en general la plataforma fue un desastre,Negativo,1
en general el proceso fue muy recomendable,Positivo,0
en general la compra fue todo salió bien,Positivo,0
mi experiencia con el producto fue nada recomendable,Negativo,1
el sistema estuvo de primera,Positivo,0
la verdad la experiencia fue muy satisfecho,Positivo,0
la compra estuvo funciona perfecto,Positivo,0
el sistema fue mala experiencia,Negativo,1
mi experiencia con la aplicación fue me fue excelente,Positivo,0
lamentablemente la atención fue muy lento,Negativo,1
mi experiencia con el sistema fue me dejó satisfecho,Positivo,0
el proceso estuvo me encantó,Positivo,0
la compra fue todo salió bien,Positivo,0
el trámite estuvo una joya,Positivo,0
el servicio fue muy bueno,Positivo,0
en general la aplicación fue sin problemas,Positivo,0
mi experiencia con la aplicación fue me encantó,Positivo,0
lamentablemente el proceso fue terrible,Negativo,1
la verdad el producto fue todo salió bien,Positivo,0
la aplicación estuvo vale la pena,Positivo,0
el trámite fue una basura,Negativo,1
lamentablemente el servicio fue muy lento,Negativo,1
en general la atención fue muy bien hecho,Positivo,0
la verdad la experiencia fue muy bien hecho,Positivo,0
mi experiencia con la aplicación fue recomendadísimo,Positivo,0
el sistema estuvo de lo mejor,Positivo,0
en general la atención fue me sacó de quicio,Negativo,1
en general la plataforma fue muy buen servicio,Positivo,0
en general el sistema fue bien padre,Positivo,0
la atención fue muy bueno,Positivo,0
la verdad la atención fue está chido,Positivo,0
el sistema fue me sacó de quicio,Negativo,1
la plataforma estuvo experiencia horrible,Negativo,1
mi experiencia con el trámite fue vale la pena,Positivo,0
la aplicación estuvo todo de lujo,Positivo,0
la experiencia estuvo funciona fatal,Negativo,1
la experiencia estuvo todo perfecto,Positivo,0
en general el producto fue pésimo,Negativo,1
en general la atención fue me encantó,Positivo,0
la aplicación estuvo funciona al cien,Positivo,0
la plataforma estuvo no lo recomiendo,Negativo,1
en general el trámite fue pésimo servicio,Negativo,1
la experiencia fue me hizo perder tiempo,Negativo,1
lamentablemente el proceso fue no sirve,Negativo,1
el proceso estuvo no cumplió,Negativo,1
en general el sistema fue padrísimo,Positivo,0
mi experiencia con la experiencia fue sin problemas,Positivo,0
mi experiencia con el proceso fue muy chafa,Negativo,1
la aplicación fue todo perfecto,Positivo,0
el sistema fue una maravilla,Positivo,0
la verdad la experiencia fue cumple totalmente,Positivo,0
en general la plataforma fue me sorprendió,Positivo,0
la experiencia estuvo de lo mejor,Positivo,0
en general el trámite fue no cumplió,Negativo,1
en general la experiencia fue muy malo,Negativo,1
en general el proceso fue de primera,Positivo,0
el producto estuvo muy bien hecho,Positivo,0
mi experiencia con el servicio fue mal atendido,Negativo,1
mi experiencia con la experiencia fue me sacó de quicio,Negativo,1
mi experiencia con la atención fue pésimo servicio,Negativo,1
la compra estuvo muy recomendable,Positivo,0
mi experiencia con el trámite fue sin problemas,Positivo,0
la atención estuvo muy bien hecho,Positivo,0
la experiencia fue todo de lujo,Positivo,0
el trámite fue decepcionante,Negativo,1
el servicio estuvo funciona mal,Negativo,1
el sistema estuvo me fue mal,Negativo,1
mi experiencia con la compra fue decepcionante,Negativo,1
el servicio estuvo muy flojo,Negativo,1
la plataforma estuvo muy chafa,Negativo,1
mi experiencia con el producto fue muy recomendable,Positivo,0
en general la experiencia fue mala experiencia,Negativo,1
el servicio estuvo experiencia horrible,Negativo,1
la plataforma estuvo me fue excelente,Positivo,0
la aplicación estuvo de primera,Positivo,0
el servicio estuvo un desastre,Negativo,1
en general el trámite fue me fue mal,Negativo,1
mi experiencia con la aplicación fue padrísimo,Positivo,0
la plataforma estuvo mal atendido,Negativo,1
la experiencia fue funciona al cien,Positivo,0
en general la atención fue no lo recomiendo,Negativo,1
mi experiencia con el proceso fue una basura,Negativo,1
la verdad la atención fue cumple totalmente,Positivo,0
el servicio fue decepcionante,Negativo,1
la verdad el proceso fue me gustó mucho,Positivo,0
la plataforma fue jala bien,Positivo,0
el trámite estuvo nada recomendable,Negativo,1
en general el sistema fue mala experiencia,Negativo,1
en general el producto fue me dejó contento,Positivo,0
lamentablemente el servicio fue muy mal hecho,Negativo,1
en general el sistema fue una joya,Positivo,0
el proceso estuvo mala experiencia,Negativo,1
en general la compra fue funciona al cien,Positivo,0
el producto fue una porquería,Negativo,1
el servicio estuvo no sirve,Negativo,1
en general la aplicación fue funciona al cien,Positivo,0
el proceso estuvo fatal,Negativo,1
la atención estuvo muy bien logrado,Positivo,0
la compra fue mala experiencia,Negativo,1
en general la experiencia fue todo de lujo,Positivo,0
en general el servicio fue excelente,Positivo,0
el servicio fue muy chafa,Negativo,1
lamentablemente la plataforma fue muy deficiente,Negativo,1
en general el proceso fue muy flojo,Negativo,1
el producto fue experiencia horrible,Negativo,1
la compra fue una joya,Positivo,0
el servicio fue mala experiencia,Negativo,1
en general el proceso fue decepcionante,Negativo,1
la compra estuvo funciona al cien,Positivo,0
el trámite fue de primera,Positivo,0
mi experiencia con el trámite fue padrísimo,Positivo,0
el servicio estuvo sin problemas,Positivo,0
la verdad la plataforma fue genial,Positivo,0
el sistema estuvo muy recomendable,Positivo,0
en general la plataforma fue de primera,Positivo,0
el proceso fue una joya,Positivo,0
el servicio fue funciona perfecto,Positivo,0
en general la experiencia fue muy mal hecho,Negativo,1
mi experiencia con el sistema fue me gustó mucho,Positivo,0
el producto fue no vale la pena,Negativo,1
en general la plataforma fue me fue excelente,Positivo,0
en general el proceso fue muy chafa,Negativo,1
lamentablemente la experiencia fue no cumplió,Negativo,1
el proceso estuvo me dejó satisfecho,Positivo,0
en general el servicio fue todo perfecto,Positivo,0
mi experiencia con el producto fue muy mal hecho,Negativo,1
la verdad el sistema fue me dejó contento,Positivo,0
el proceso estuvo rápido y eficiente,Positivo,0
