Frase,Sentimiento,Etiqueta
mi opinión es que la aplicación fue super conforme,Positivo,0
lamentablemente el proceso fue anda mal,Negativo,1
la verdad el producto fue re piola,Positivo,0
el trámite fue me dejó re conforme,Positivo,0
en general el sistema fue una pérdida total,Negativo,1
el proceso fue re lento,Negativo,1
el servicio fue flojo,Negativo,1
el producto fue pésimo,Negativo,1
la aplicación estuvo re bueno,Positivo,0
la experiencia fue lento,Negativo,1
mi experiencia con la plataforma fue frustrante,Negativo,1
lamentablemente la plataforma fue malísimo,Negativo,1
mi opinión es que la experiencia fue excelente experiencia,Positivo,0
en general la aplicación fue todo de primera,Positivo,0
la atención estuvo mal organizado,Negativo,1
mi opinión es que la compra fue re bueno,Positivo,0
mi opinión es que la plataforma fue anda bárbaro,Positivo,0
en general el producto fue impecable,Positivo,0
en general la experiencia fue bárbaro,Positivo,0
la experiencia fue rápido y eficaz,Positivo,0
en general la experiencia fue funciona mal,Negativo,1
la verdad la plataforma fue bárbaro,Positivo,0
en general el servicio fue de terror,Negativo,1
en general la compra fue muy malo,Negativo,1
la verdad el proceso fue de primera,Positivo,0
mi experiencia con la experiencia fue impresentable,Negativo,1
la atención fue recomendable,Positivo,0
la atención estuvo una decepción,Negativo,1
mi experiencia con la plataforma fue no recomendable,Negativo,1
mi experiencia con la plataforma fue experiencia horrible,Negativo,1
mi opinión es que la plataforma fue impecable,Positivo,0
lamentablemente la compra fue funciona mal,Negativo,1
mi experiencia con el producto fue no cumple para nada,Negativo,1
lamentablemente la atención fue no cumple para nada,Negativo,1
la compra fue impresentable,Negativo,1
lamentablemente el proceso fue una porquería,Negativo,1
mi experiencia con la atención fue poco serio,Negativo,1
en general la atención fue re lento,Negativo,1
en general el servicio fue espectacular,Positivo,0
en general la aplicación fue frustrante,Negativo,1
el trámite fue de diez,Positivo,0
lamentablemente el servicio fue re malo,Negativo,1
mi opinión es que la atención fue re bueno,Positivo,0
en general la plataforma fue re piola,Positivo,0
en general el trámite fue rápido y eficaz,Positivo,0
la experiencia fue muy buena onda,Positivo,0
en general la compra fue una decepción,Negativo,1
la experiencia estuvo muy conforme,Positivo,0
mi experiencia con el sistema fue mal atendido,Negativo,1
la verdad la compra fue una maravilla,Positivo,0
mi experiencia con la experiencia fue mal organizado,Negativo,1
la verdad la atención fue re piola,Positivo,0
mi experiencia con la experiencia fue frustrante,Negativo,1
el trámite fue anda mal,Negativo,1
lamentablemente la experiencia fue frustrante,Negativo,1
la compra estuvo rápido y eficaz,Positivo,0
lamentablemente la compra fue anda para atrás,Negativo,1
mi opinión es que el trámite fue sin drama,Positivo,0
lamentablemente el trámite fue una vergüenza,Negativo,1
mi experiencia con la compra fue re malo,Negativo,1
mi experiencia con el trámite fue no cumple para nada,Negativo,1
mi experiencia con la atención fue ineficiente,Negativo,1
en general el producto fue funciona perfecto,Positivo,0
la plataforma estuvo funciona perfecto,Positivo,0
en general el servicio fue re malo,Negativo,1
en general la plataforma fue no cumple para nada,Negativo,1
en general el proceso fue me dejó caliente,Negativo,1
en general la aplicación fue muy conforme,Positivo,0
el trámite fue muy bien logrado,Positivo,0
la verdad la plataforma fue me sorprendió para bien,Positivo,0
la aplicación fue una vergüenza,Negativo,1
lamentablemente el servicio fue poco serio,Negativo,1
la verdad la atención fue muy buena onda,Positivo,0
la verdad el servicio fue rápido y eficaz,Positivo,0
en general la experiencia fue un desastre,Negativo,1
mi experiencia con la compra fue me dejó recaliente,Negativo,1
la compra fue me sorprendió para bien,Positivo,0
la aplicación fue me dejó recaliente,Negativo,1
el sistema estuvo no cumple,Negativo,1
la verdad la aplicación fue vale totalmente la pena,Positivo,0
la verdad el servicio fue joya,Positivo,0
el trámite fue mal organizado,Negativo,1
mi experiencia con la aplicación fue flojo,Negativo,1
la aplicación estuvo muy bien logrado,Positivo,0
mi opinión es que la plataforma fue todo ok,Positivo,0
el proceso estuvo no cumple para nada,Negativo,1
el producto fue anda mal,Negativo,1
mi experiencia con la atención fue una pérdida total,Negativo,1
en general el trámite fue recomendable,Positivo,0
la atención fue cumple de sobra,Positivo,0
lamentablemente el sistema fue mal atendido,Negativo,1
el producto estuvo no vale la pena,Negativo,1
la verdad la experiencia fue excelente experiencia,Positivo,0
en general el proceso fue una pérdida de tiempo,Negativo,1
el sistema estuvo recomendable,Positivo,0
la experiencia fue me dejó recaliente,Negativo,1
el servicio estuvo una vergüenza,Negativo,1
el trámite fue una maravilla,Positivo,0
el proceso estuvo funciona de diez,Positivo,0
mi experiencia con el producto fue poco serio,Negativo,1
en general la aplicación fue horrible,Negativo,1
mi opinión es que la compra fue funciona de diez,Positivo,0
la atención fue pésimo,Negativo,1
en general la plataforma fue copado,Positivo,0
la compra estuvo cumple al 100,Positivo,0
el trámite estuvo decepcionante,Negativo,1
el proceso estuvo de lujo,Positivo,0
mi experiencia con el servicio fue flojo,Negativo,1
la verdad la experiencia fue genial,Positivo,0
mi opinión es que el servicio fue muy buena onda,Positivo,0
el trámite estuvo de diez,Positivo,0
en general la compra fue buenísimo,Positivo,0
la atención fue re piola,Positivo,0
la verdad la plataforma fue me dejó re conforme,Positivo,0
el trámite fue excelente,Positivo,0
en general la plataforma fue poco serio,Negativo,1
lamentablemente el producto fue re lento,Negativo,1
lamentablemente el proceso fue anda para atrás,Negativo,1
la aplicación fue horrible,Negativo,1
el producto estuvo anda perfecto,Positivo,0
la plataforma fue re malo,Negativo,1
el servicio estuvo muy recomendable,Positivo,0
la experiencia estuvo no vale la pena,Negativo,1
el servicio fue un gol,Positivo,0
mi opinión es que la compra fue copado,Positivo,0
la experiencia estuvo anda bárbaro,Positivo,0
en general la compra fue re piola,Positivo,0
en general la compra fue mal atendido,Negativo,1
el servicio estuvo una cagada,Negativo,1
la compra fue horrible,Negativo,1
el sistema estuvo decepcionante,Negativo,1
en general la aplicación fue bárbaro,Positivo,0
mi experiencia con la aplicación fue una pérdida total,Negativo,1
mi experiencia con el proceso fue un desastre,Negativo,1
el producto estuvo de primera,Positivo,0
la atención fue impecable,Positivo,0
la verdad la plataforma fue joya,Positivo,0
la atención estuvo una cagada,Negativo,1
la compra estuvo anda bárbaro,Positivo,0
mi experiencia con el sistema fue pésimo,Negativo,1
el trámite fue lento,Negativo,1
en general la aplicación fue experiencia horrible,Negativo,1
mi experiencia con la aplicación fue no vale la pena,Negativo,1
lamentablemente el sistema fue muy malo,Negativo,1
la experiencia estuvo sin drama,Positivo,0
el trámite estuvo no vale la pena,Negativo,1
la verdad el proceso fue recomendable,Positivo,0
la experiencia estuvo no sirve,Negativo,1
lamentablemente la experiencia fue una porquería,Negativo,1
mi opinión es que la atención fue anda perfecto,Positivo,0
en general la plataforma fue espectacular,Positivo,0
mi experiencia con la aplicación fue no sirve,Negativo,1
la aplicación estuvo super conforme,Positivo,0
la atención fue re lento,Negativo,1
mi experiencia con la experiencia fue un desastre,Negativo,1
el trámite fue joya,Positivo,0
el servicio estuvo copado,Positivo,0
lamentablemente el producto fue una vergüenza,Negativo,1
la aplicación fue un gol,Positivo,0
la verdad el servicio fue recomendable,Positivo,0
la verdad la aplicación fue sin drama,Positivo,0
la experiencia fue muy mal hecho,Negativo,1
la verdad la experiencia fue excelente,Positivo,0
mi opinión es que la compra fue recomendable,Positivo,0
el producto fue no vale la pena,Negativo,1
en general el sistema fue bárbaro,Positivo,0
la experiencia fue vale la pena,Positivo,0
en general la plataforma fue muy malo,Negativo,1
mi opinión es que la plataforma fue muy conforme,Positivo,0
el proceso fue de terror,Negativo,1
en general el servicio fue muy recomendable,Positivo,0
mi experiencia con el servicio fue un desastre,Negativo,1
la verdad la aplicación fue copado,Positivo,0
en general el servicio fue copado,Positivo,0
mi opinión es que el trámite fue super conforme,Positivo,0
la atención fue joya,Positivo,0
mi opinión es que la experiencia fue una maravilla,Positivo,0
el servicio estuvo re bueno,Positivo,0
la verdad la compra fue mucho mejor de lo esperado,Positivo,0
en general el servicio fue pésimo,Negativo,1
mi opinión es que la atención fue de diez,Positivo,0
lamentablemente el servicio fue no recomendable,Negativo,1
en general el sistema fue funciona de diez,Positivo,0
la experiencia estuvo anda perfecto,Positivo,0
la plataforma estuvo lento,Negativo,1
la experiencia estuvo muy mal hecho,Negativo,1
la atención fue de lujo,Positivo,0
el trámite fue impresentable,Negativo,1
el proceso fue una pérdida total,Negativo,1
la aplicación fue recomendable,Positivo,0
mi opinión es que el sistema fue re bueno,Positivo,0
la plataforma estuvo re malo,Negativo,1
en general el producto fue anda perfecto,Positivo,0
lamentablemente la aplicación fue mal atendido,Negativo,1
lamentablemente el trámite fue una porquería,Negativo,1
la experiencia estuvo una pérdida de tiempo,Negativo,1
mi opinión es que el servicio fue impecable,Positivo,0
lamentablemente el proceso fue muy mal hecho,Negativo,1
la verdad la compra fue anda perfecto,Positivo,0
la experiencia estuvo me encantó,Positivo,0
mi experiencia con la atención fue experiencia horrible,Negativo,1
el sistema estuvo me sorprendió para bien,Positivo,0
lamentablemente la experiencia fue muy flojo,Negativo,1
en general la plataforma fue vale totalmente la pena,Positivo,0
el sistema fue de diez,Positivo,0
mi opinión es que el sistema fue excelente experiencia,Positivo,0
la verdad la experiencia fue cumple al 100,Positivo,0
lamentablemente el producto fue no cumple para nada,Negativo,1
mi experiencia con el proceso fue malísimo,Negativo,1
el servicio estuvo ineficiente,Negativo,1
la atención estuvo cumple al 100,Positivo,0
en general la experiencia fue funciona perfecto,Positivo,0
la atención estuvo funciona perfecto,Positivo,0
el servicio estuvo muy mal hecho,Negativo,1
la atención fue impresentable,Negativo,1
la compra estuvo de primera,Positivo,0
la experiencia estuvo me sorprendió para bien,Positivo,0
en general la atención fue funciona pésimo,Negativo,1
el servicio fue una decepción,Negativo,1
lamentablemente la atención fue muy malo,Negativo,1
la aplicación estuvo funciona pésimo,Negativo,1
mi opinión es que la aplicación fue una maravilla,Positivo,0
en general la atención fue mal atendido,Negativo,1
mi experiencia con el sistema fue me dejó caliente,Negativo,1
la atención estuvo rápido y eficaz,Positivo,0
mi opinión es que el producto fue de lujo,Positivo,0
la verdad la aplicación fue de diez,Positivo,0
mi opinión es que el servicio fue muy bien logrado,Positivo,0
la compra fue anda bárbaro,Positivo,0
el trámite estuvo flojo,Negativo,1
el producto fue todo ok,Positivo,0
mi experiencia con la compra fue impresentable,Negativo,1
la verdad la atención fue muy conforme,Positivo,0
mi experiencia con la experiencia fue lento,Negativo,1
en general el trámite fue me dejó recaliente,Negativo,1
la atención estuvo horrible,Negativo,1
mi opinión es que el producto fue una maravilla,Positivo,0
el servicio estuvo funciona perfecto,Positivo,0
en general el producto fue me hizo perder tiempo,Negativo,1
en general el producto fue todo ok,Positivo,0
la verdad el trámite fue rápido y eficaz,Positivo,0
el servicio fue muy mal hecho,Negativo,1
mi opinión es que el trámite fue cumple de sobra,Positivo,0
la compra fue un desastre,Negativo,1
mi opinión es que la experiencia fue super conforme,Positivo,0
el proceso fue muy conforme,Positivo,0
mi experiencia con el producto fue desastroso,Negativo,1
el proceso estuvo re lento,Negativo,1
la verdad la aplicación fue de lujo,Positivo,0
la atención fue me dejó recaliente,Negativo,1
la verdad el sistema fue excelente,Positivo,0
el servicio fue me dejó re conforme,Positivo,0
en general el servicio fue flojo,Negativo,1
el proceso estuvo decepcionante,Negativo,1
en general la compra fue me hizo perder tiempo,Negativo,1
la compra fue anda perfecto,Positivo,0
la verdad la compra fue re bien,Positivo,0
mi experiencia con el producto fue no vale la pena,Negativo,1
la verdad el servicio fue re bien,Positivo,0
en general el servicio fue de diez,Positivo,0
mi experiencia con el proceso fue una porquería,Negativo,1
en general la atención fue un gol,Positivo,0
el sistema fue re bien,Positivo,0
en general la aplicación fue lento,Negativo,1
en general la experiencia fue buenísimo,Positivo,0
la plataforma estuvo rápido y eficaz,Positivo,0
en general el sistema fue me dejó caliente,Negativo,1
el sistema estuvo una porquería,Negativo,1
el sistema estuvo me dejó caliente,Negativo,1
mi experiencia con la atención fue una porquería,Negativo,1
mi experiencia con la plataforma fue una vergüenza,Negativo,1
en general la aplicación fue muy malo,Negativo,1
el proceso fue genial,Positivo,0
el trámite fue re piola,Positivo,0
lamentablemente el sistema fue poco serio,Negativo,1
la plataforma estuvo muy buena onda,Positivo,0
el proceso fue todo de primera,Positivo,0
en general la plataforma fue buenísimo,Positivo,0
la verdad la plataforma fue espectacular,Positivo,0
la verdad la atención fue excelente,Positivo,0
mi opinión es que el servicio fue me dejó re conforme,Positivo,0
la atención fue horrible,Negativo,1
lamentablemente la experiencia fue muy desprolijo,Negativo,1
la verdad el sistema fue espectacular,Positivo,0
el sistema fue vale totalmente la pena,Positivo,0
el proceso estuvo re piola,Positivo,0
la verdad la plataforma fue anda bárbaro,Positivo,0
la verdad el trámite fue me sorprendió para bien,Positivo,0
la compra estuvo re bueno,Positivo,0
la experiencia fue de diez,Positivo,0
la verdad la plataforma fue funciona de diez,Positivo,0
en general el sistema fue espectacular,Positivo,0
lamentablemente el sistema fue no vale la pena,Negativo,1
en general la aplicación fue muy bien logrado,Positivo,0
mi experiencia con la atención fue me dejó recaliente,Negativo,1
la compra fue copado,Positivo,0
en general la atención fue re bueno,Positivo,0
el producto fue mal atendido,Negativo,1
la compra fue mucho mejor de lo esperado,Positivo,0
la plataforma estuvo una maravilla,Positivo,0
la atención estuvo anda perfecto,Positivo,0
la verdad el trámite fue vale totalmente la pena,Positivo,0
la verdad el trámite fue muy conforme,Positivo,0
en general el trámite fue excelente,Positivo,0
el trámite fue bárbaro,Positivo,0
mi experiencia con el servicio fue una pérdida total,Negativo,1
la experiencia estuvo anda mal,Negativo,1
el servicio fue pésimo,Negativo,1
en general el trámite fue me sorprendió para bien,Positivo,0
mi opinión es que el servicio fue vale la pena,Positivo,0
lamentablemente la compra fue experiencia horrible,Negativo,1
el servicio fue una masa,Positivo,0
la verdad la plataforma fue vale la pena,Positivo,0
mi experiencia con la compra fue me dejó caliente,Negativo,1
la verdad el servicio fue mucho mejor de lo esperado,Positivo,0
la atención fue frustrante,Negativo,1
la verdad la compra fue de diez,Positivo,0
la compra estuvo re bien,Positivo,0
el trámite fue recomendable,Positivo,0
mi opinión es que la compra fue de diez,Positivo,0
mi opinión es que el servicio fue funciona de diez,Positivo,0
mi experiencia con el trámite fue mal organizado,Negativo,1
el trámite estuvo pésimo,Negativo,1
mi opinión es que la atención fue cumple de sobra,Positivo,0
la atención estuvo vale la pena,Positivo,0
la plataforma fue mal organizado,Negativo,1
mi experiencia con el servicio fue muy desprolijo,Negativo,1
lamentablemente el trámite fue malísimo,Negativo,1
la verdad el servicio fue muy conforme,Positivo,0
la experiencia estuvo anda para atrás,Negativo,1
el proceso estuvo vale totalmente la pena,Positivo,0
la verdad la compra fue me sorprendió para bien,Positivo,0
lamentablemente el producto fue muy malo,Negativo,1
mi opinión es que el servicio fue super conforme,Positivo,0
la compra estuvo no recomendable,Negativo,1
la compra estuvo un desastre,Negativo,1
lamentablemente el proceso fue no cumple para nada,Negativo,1
la compra fue genial,Positivo,0
la aplicación estuvo anda mal,Negativo,1
en general la experiencia fue una pérdida total,Negativo,1
el producto estuvo me sorprendió para bien,Positivo,0
el servicio estuvo anda para atrás,Negativo,1
en general la plataforma fue flojo,Negativo,1
mi opinión es que el proceso fue una maravilla,Positivo,0
mi opinión es que el sistema fue cumple al 100,Positivo,0
la atención estuvo muy malo,Negativo,1
la atención estuvo copado,Positivo,0
en general la aplicación fue pésimo,Negativo,1
mi opinión es que el sistema fue muy conforme,Positivo,0
mi opinión es que el sistema fue genial,Positivo,0
la verdad la compra fue excelente experiencia,Positivo,0
lamentablemente la experiencia fue no cumple para nada,Negativo,1
lamentablemente la compra fue me dejó caliente,Negativo,1
la verdad el trámite fue muy buena onda,Positivo,0
el proceso fue impresentable,Negativo,1
mi opinión es que la atención fue de primera,Positivo,0
la compra estuvo muy conforme,Positivo,0
en general la compra fue joya,Positivo,0
mi experiencia con el trámite fue muy malo,Negativo,1
en general la compra fue me dejó re conforme,Positivo,0
la verdad la atención fue muy recomendable,Positivo,0
lamentablemente el proceso fue muy flojo,Negativo,1
mi opinión es que la atención fue muy buena onda,Positivo,0
la plataforma fue de primera,Positivo,0
mi opinión es que la plataforma fue re bueno,Positivo,0
mi opinión es que la experiencia fue muy bien logrado,Positivo,0
lamentablemente el trámite fue re malo,Negativo,1
lamentablemente el trámite fue frustrante,Negativo,1
la aplicación fue me dejó re conforme,Positivo,0
mi experiencia con el sistema fue re malo,Negativo,1
la experiencia fue espectacular,Positivo,0
mi opinión es que el sistema fue excelente,Positivo,0
lamentablemente el producto fue lento,Negativo,1
en general el proceso fue un desastre,Negativo,1
en general la plataforma fue impecable,Positivo,0
en general la compra fue muy buena onda,Positivo,0
la verdad el trámite fue excelente experiencia,Positivo,0
la verdad la atención fue cumple de sobra,Positivo,0
en general la compra fue muy bien logrado,Positivo,0
lamentablemente la experiencia fue no cumple,Negativo,1
en general el trámite fue muy malo,Negativo,1
mi experiencia con el producto fue una cagada,Negativo,1
la verdad la plataforma fue recomendable,Positivo,0
en general el trámite fue funciona mal,Negativo,1
lamentablemente la plataforma fue frustrante,Negativo,1
lamentablemente la compra fue re malo,Negativo,1
el producto estuvo una maravilla,Positivo,0
el producto estuvo anda para atrás,Negativo,1
la plataforma fue anda bárbaro,Positivo,0
el proceso estuvo de primera,Positivo,0
mi experiencia con el servicio fue frustrante,Negativo,1
la verdad el servicio fue funciona perfecto,Positivo,0
el servicio estuvo de primera,Positivo,0
la verdad la atención fue cumple al 100,Positivo,0
en general la experiencia fue lento,Negativo,1
el trámite fue un desastre,Negativo,1
la verdad el producto fue muy bien logrado,Positivo,0
en general el proceso fue lento,Negativo,1
en general la atención fue re malo,Negativo,1
en general la atención fue me hizo perder tiempo,Negativo,1
el producto fue re lento,Negativo,1
mi opinión es que el proceso fue excelente,Positivo,0
en general el producto fue no sirve,Negativo,1
mi opinión es que el servicio fue un gol,Positivo,0
lamentablemente la compra fue impresentable,Negativo,1
la aplicación estuvo re lento,Negativo,1
la atención estuvo no recomendable,Negativo,1
mi experiencia con la atención fue de terror,Negativo,1
mi opinión es que la experiencia fue re bueno,Positivo,0
la verdad el proceso fue me dejó re conforme,Positivo,0
mi experiencia con el proceso fue mal organizado,Negativo,1
el sistema estuvo espectacular,Positivo,0
el producto estuvo re malo,Negativo,1
la plataforma fue no recomendable,Negativo,1
la aplicación estuvo rápido y eficaz,Positivo,0
en general la atención fue re bien,Positivo,0
el servicio fue buenísimo,Positivo,0
la plataforma fue me sorprendió para bien,Positivo,0
la verdad la atención fue bárbaro,Positivo,0
la plataforma fue re bueno,Positivo,0
lamentablemente el proceso fue no recomendable,Negativo,1
lamentablemente la aplicación fue poco serio,Negativo,1
la verdad el sistema fue rápido y eficaz,Positivo,0
mi experiencia con el producto fue una pérdida de tiempo,Negativo,1
el producto estuvo anda mal,Negativo,1
la verdad la experiencia fue de primera,Positivo,0
mi opinión es que la aplicación fue todo ok,Positivo,0
el trámite fue anda perfecto,Positivo,0
la verdad la experiencia fue impecable,Positivo,0
el producto fue anda para atrás,Negativo,1
la verdad el trámite fue funciona de diez,Positivo,0
en general el servicio fue vale totalmente la pena,Positivo,0
en general el sistema fue muy desprolijo,Negativo,1
la verdad la plataforma fue de lujo,Positivo,0
el servicio estuvo genial,Positivo,0
mi opinión es que la experiencia fue excelente,Positivo,0
mi opinión es que la atención fue sin drama,Positivo,0
la plataforma estuvo cumple de sobra,Positivo,0
mi experiencia con la aplicación fue me dejó caliente,Negativo,1
la compra estuvo una cagada,Negativo,1
el proceso fue una decepción,Negativo,1
el proceso estuvo un gol,Positivo,0
lamentablemente la experiencia fue una pérdida de tiempo,Negativo,1
lamentablemente la atención fue muy desprolijo,Negativo,1
la aplicación fue funciona de diez,Positivo,0
en general el producto fue muy malo,Negativo,1
lamentablemente el proceso fue muy malo,Negativo,1
mi opinión es que el servicio fue vale totalmente la pena,Positivo,0
la experiencia fue copado,Positivo,0
la verdad la compra fue vale totalmente la pena,Positivo,0
la plataforma fue cumple de sobra,Positivo,0
mi opinión es que el servicio fue re bueno,Positivo,0
el producto fue re bien,Positivo,0
lamentablemente el proceso fue experiencia horrible,Negativo,1
lamentablemente el producto fue flojo,Negativo,1
lamentablemente el sistema fue desastroso,Negativo,1
lamentablemente el trámite fue muy mal hecho,Negativo,1
la aplicación estuvo muy mal hecho,Negativo,1
el sistema estuvo todo ok,Positivo,0
en general la aplicación fue funciona mal,Negativo,1
en general la atención fue muy desprolijo,Negativo,1
el producto estuvo funciona pésimo,Negativo,1
en general la compra fue no cumple para nada,Negativo,1
en general la atención fue joya,Positivo,0
el proceso fue excelente experiencia,Positivo,0
en general la aplicación fue re piola,Positivo,0
la verdad la experiencia fue me dejó re conforme,Positivo,0
mi experiencia con el trámite fue muy flojo,Negativo,1
lamentablemente el trámite fue una pérdida total,Negativo,1
en general la compra fue funciona de diez,Positivo,0
la verdad el trámite fue funciona perfecto,Positivo,0
en general el producto fue mal organizado,Negativo,1
el trámite fue todo de primera,Positivo,0
el servicio fue todo ok,Positivo,0
en general la atención fue funciona perfecto,Positivo,0
la atención fue muy buena onda,Positivo,0
lamentablemente el servicio fue me dejó caliente,Negativo,1
mi opinión es que la plataforma fue buenísimo,Positivo,0
la compra fue todo de primera,Positivo,0
el proceso fue impecable,Positivo,0
la aplicación fue super conforme,Positivo,0
la atención fue una pérdida total,Negativo,1
mi opinión es que el producto fue copado,Positivo,0
el producto estuvo una pérdida total,Negativo,1
el sistema fue no recomendable,Negativo,1
la atención fue muy flojo,Negativo,1
lamentablemente la plataforma fue me hizo perder tiempo,Negativo,1
lamentablemente la compra fue muy desprolijo,Negativo,1
la compra fue anda para atrás,Negativo,1
lamentablemente el sistema fue pésimo,Negativo,1
la experiencia fue re lento,Negativo,1
el producto fue funciona perfecto,Positivo,0
mi opinión es que el proceso fue cumple de sobra,Positivo,0
la aplicación fue todo de primera,Positivo,0
la experiencia fue una cagada,Negativo,1
mi experiencia con la atención fue pésimo,Negativo,1
la experiencia estuvo de diez,Positivo,0
la verdad el sistema fue me sorprendió para bien,Positivo,0
la plataforma estuvo me dejó re conforme,Positivo,0
la compra estuvo buenísimo,Positivo,0
