Frase,Sentimiento,Etiqueta
mi experiencia con la compra fue fatal,Negativo,1
la atención fue me dejó satisfecho,Positivo,0
lamentablemente la plataforma fue funciona mal,Negativo,1
el trámite fue muy bueno,Positivo,0
en general el sistema fue me dejó satisfecho,Positivo,0
la aplicación estuvo me encantó,Positivo,0
lamentablemente el sistema fue un desastre,Negativo,1
el sistema estuvo decepcionante,Negativo,1
la aplicación estuvo quedé feliz,Positivo,0
el proceso estuvo me fue muy bien,Positivo,0
mi experiencia con el producto fue me pareció genial,Positivo,0
la verdad la experiencia fue super bacano,Positivo,0
en general la plataforma fue todo salió perfecto,Positivo,0
el servicio fue frustrante,Negativo,1
la aplicación fue muy malo,Negativo,1
mi experiencia con la plataforma fue todo perfecto,Positivo,0
el sistema fue muy mal hecho,Negativo,1
el sistema fue me dejó satisfecho,Positivo,0
mi experiencia con la aplicación fue me sacó la piedra,Negativo,1
lamentablemente el proceso fue malísimo,Negativo,1
mi experiencia con la plataforma fue muy buena atención,Positivo,0
la verdad el servicio fue de lo mejor,Positivo,0
el servicio estuvo muy buena atención,Positivo,0
mi experiencia con la aplicación fue todo perfecto,Positivo,0
en general el sistema fue muy bien logrado,Positivo,0
el trámite estuvo vale la pena,Positivo,0
en general la aplicación fue me pareció genial,Positivo,0
el proceso fue funciona perfecto,Positivo,0
mi experiencia con el trámite fue flojo,Negativo,1
el producto estuvo no lo recomiendo,Negativo,1
lamentablemente el sistema fue me dejó inconforme,Negativo,1
lamentablemente la aplicación fue me decepcionó,Negativo,1
mi experiencia con el trámite fue me dejó contento,Positivo,0
en general la experiencia fue decepcionante,Negativo,1
el proceso estuvo me decepcionó,Negativo,1
en general el sistema fue no sirve,Negativo,1
el proceso estuvo me encantó,Positivo,0
mi experiencia con la compra fue muy satisfecho,Positivo,0
mi experiencia con el trámite fue me pareció genial,Positivo,0
la plataforma estuvo muy cumplido,Positivo,0
mi experiencia con la atención fue genial,Positivo,0
el proceso estuvo me sorprendió,Positivo,0
la compra fue todo salió perfecto,Positivo,0
mi experiencia con la atención fue super bacano,Positivo,0
el trámite estuvo muy malo,Negativo,1
en general el trámite fue me sacó la piedra,Negativo,1
el proceso fue me dejó aburrido,Negativo,1
mi experiencia con la compra fue me decepcionó,Negativo,1
en general el sistema fue un desastre,Negativo,1
el producto estuvo me dejó aburrido,Negativo,1
en general la experiencia fue me sorprendió,Positivo,0
la aplicación estuvo fatal,Negativo,1
lamentablemente la aplicación fue horrible,Negativo,1
mi experiencia con el proceso fue funciona terrible,Negativo,1
el proceso fue me fue mal,Negativo,1
mi experiencia con la compra fue quedé feliz,Positivo,0
la plataforma fue nada recomendable,Negativo,1
el trámite fue no lo recomiendo,Negativo,1
mi experiencia con el sistema fue mal atendido,Negativo,1
en general la compra fue muy buena experiencia,Positivo,0
la plataforma estuvo muy bueno,Positivo,0
mi experiencia con la atención fue una chimba,Positivo,0
mi experiencia con la plataforma fue me dejó contento,Positivo,0
el trámite fue mal atendido,Negativo,1
la atención fue terrible,Negativo,1
mi experiencia con el proceso fue frustrante,Negativo,1
mi experiencia con el trámite fue muy satisfecho,Positivo,0
el servicio fue funciona mal,Negativo,1
el servicio fue no lo recomiendo,Negativo,1
mi experiencia con el producto fue fue un caos,Negativo,1
en general el proceso fue excelente,Positivo,0
en general la plataforma fue de lo mejor,Positivo,0
el proceso estuvo una pérdida de tiempo,Negativo,1
mi experiencia con la plataforma fue cumple totalmente,Positivo,0
el servicio fue fatal,Negativo,1
la aplicación estuvo excelente,Positivo,0
en general el servicio fue mal atendido,Negativo,1
el servicio fue me sorprendió,Positivo,0
en general el sistema fue vale la pena,Positivo,0
en general el producto fue vale la pena,Positivo,0
la verdad el servicio fue una maravilla,Positivo,0
la verdad la plataforma fue una chimba,Positivo,0
la plataforma estuvo muy mala atención,Negativo,1
lamentablemente el servicio fue pésimo,Negativo,1
el proceso fue me fue muy bien,Positivo,0
lamentablemente la atención fue flojo,Negativo,1
el sistema fue quedé feliz,Positivo,0
mi experiencia con la compra fue horrible,Negativo,1
la verdad el proceso fue genial,Positivo,0
la compra fue todo perfecto,Positivo,0
lamentablemente la aplicación fue decepcionante,Negativo,1
mi experiencia con el servicio fue muy malo,Negativo,1
la verdad la atención fue me dejó contento,Positivo,0
en general el producto fue todo salió excelente,Positivo,0
la verdad el proceso fue una nota,Positivo,0
en general el trámite fue fue un caos,Negativo,1
la verdad la compra fue me fue muy bien,Positivo,0
la verdad el sistema fue muy buena experiencia,Positivo,0
el servicio fue muy regular,Negativo,1
el trámite estuvo excelente,Positivo,0
en general la atención fue me sorprendió,Positivo,0
mi experiencia con la atención fue me dejó contento,Positivo,0
lamentablemente la plataforma fue muy regular,Negativo,1
en general la aplicación fue horrible,Negativo,1
la experiencia estuvo experiencia horrible,Negativo,1
mi experiencia con el sistema fue una maravilla,Positivo,0
mi experiencia con el producto fue pésimo,Negativo,1
la verdad la atención fue muy satisfecho,Positivo,0
la atención fue me dejó contento,Positivo,0
el proceso fue funciona mal,Negativo,1
la verdad el producto fue excelente,Positivo,0
la experiencia fue de primera,Positivo,0
en general la plataforma fue me dejó contento,Positivo,0
mi experiencia con el servicio fue todo salió perfecto,Positivo,0
la atención estuvo me fue muy bien,Positivo,0
la verdad la experiencia fue una maravilla,Positivo,0
en general la aplicación fue funciona mal,Negativo,1
lamentablemente el sistema fue una porquería,Negativo,1
el servicio fue me dejó inconforme,Negativo,1
la compra estuvo excelente,Positivo,0
mi experiencia con el proceso fue todo salió perfecto,Positivo,0
en general el servicio fue una chimba,Positivo,0
mi experiencia con la aplicación fue no valió la pena,Negativo,1
mi experiencia con la atención fue muy satisfecho,Positivo,0
el sistema fue muy bueno,Positivo,0
en general la experiencia fue quedé feliz,Positivo,0
el producto fue fatal,Negativo,1
el sistema estuvo muy bien hecho,Positivo,0
la aplicación estuvo un desastre,Negativo,1
mi experiencia con el trámite fue experiencia horrible,Negativo,1
la experiencia estuvo me pareció genial,Positivo,0
mi experiencia con el servicio fue vale la pena,Positivo,0
la experiencia estuvo super bacano,Positivo,0
en general la experiencia fue experiencia horrible,Negativo,1
mi experiencia con la plataforma fue me decepcionó,Negativo,1
la plataforma estuvo muy deficiente,Negativo,1
la plataforma fue una maravilla,Positivo,0
la verdad la experiencia fue me gustó mucho,Positivo,0
el servicio fue funciona terrible,Negativo,1
la verdad la experiencia fue vale la pena,Positivo,0
la verdad el servicio fue rápido y eficiente,Positivo,0
en general el producto fue bacano,Positivo,0
la aplicación fue fue un caos,Negativo,1
la verdad el trámite fue muy satisfecho,Positivo,0
en general la plataforma fue muy recomendado,Positivo,0
en general el sistema fue me decepcionó,Negativo,1
en general el proceso fue funciona perfecto,Positivo,0
mi experiencia con la plataforma fue todo salió bien,Positivo,0
mi experiencia con la plataforma fue terrible,Negativo,1
lamentablemente la compra fue funciona terrible,Negativo,1
la aplicación fue funciona mal,Negativo,1
la verdad el sistema fue genial,Positivo,0
en general la plataforma fue funciona mal,Negativo,1
mi experiencia con el producto fue muy bien logrado,Positivo,0
en general la aplicación fue experiencia horrible,Negativo,1
lamentablemente la experiencia fue funciona mal,Negativo,1
la experiencia estuvo funciona de maravilla,Positivo,0
en general la aplicación fue muy satisfecho,Positivo,0
la verdad la atención fue excelente,Positivo,0
mi experiencia con el sistema fue muy incumplido,Negativo,1
la compra estuvo terrible,Negativo,1
la compra fue me dejó contento,Positivo,0
la experiencia fue no lo recomiendo,Negativo,1
la compra fue muy cumplido,Positivo,0
la experiencia estuvo muy satisfecho,Positivo,0
la atención fue de primera,Positivo,0
la atención estuvo no sirve,Negativo,1
la plataforma estuvo me encantó,Positivo,0
el sistema estuvo todo salió perfecto,Positivo,0
mi experiencia con la aplicación fue una nota,Positivo,0
en general el sistema fue una chimba,Positivo,0
la aplicación fue me dejó aburrido,Negativo,1
mi experiencia con la atención fue me sacó la piedra,Negativo,1
la experiencia estuvo no cumplió,Negativo,1
en general el sistema fue recomendadísimo,Positivo,0
en general el servicio fue me pareció genial,Positivo,0
la compra estuvo me encantó,Positivo,0
en general el trámite fue me dejó satisfecho,Positivo,0
la verdad el trámite fue bacano,Positivo,0
mi experiencia con el proceso fue quedé feliz,Positivo,0
la atención estuvo me sorprendió,Positivo,0
la aplicación estuvo me fue muy bien,Positivo,0
lamentablemente la plataforma fue fatal,Negativo,1
el producto estuvo muy lento,Negativo,1
la experiencia fue me fue muy bien,Positivo,0
en general el producto fue mal atendido,Negativo,1
mi experiencia con el proceso fue muy bueno,Positivo,0
lamentablemente la experiencia fue no valió la pena,Negativo,1
en general el trámite fue todo salió perfecto,Positivo,0
en general la atención fue muy lento,Negativo,1
mi experiencia con la compra fue me dejó inconforme,Negativo,1
la verdad la atención fue bacano,Positivo,0
el servicio fue una porquería,Negativo,1
en general el proceso fue muy deficiente,Negativo,1
en general la atención fue me dejó aburrido,Negativo,1
mi experiencia con la atención fue mal atendido,Negativo,1
mi experiencia con la compra fue pésimo,Negativo,1
la plataforma fue me pareció genial,Positivo,0
el proceso estuvo de primera,Positivo,0
mi experiencia con el servicio fue flojo,Negativo,1
en general la plataforma fue una nota,Positivo,0
la aplicación fue funciona perfecto,Positivo,0
mi experiencia con la experiencia fue me gustó mucho,Positivo,0
mi experiencia con el servicio fue excelente,Positivo,0
la compra estuvo no cumplió,Negativo,1
la verdad el servicio fue todo salió perfecto,Positivo,0
el sistema estuvo me sorprendió,Positivo,0
la atención estuvo recomendadísimo,Positivo,0
en general la plataforma fue me dejó satisfecho,Positivo,0
la atención estuvo una porquería,Negativo,1
el proceso estuvo muy mal hecho,Negativo,1
mi experiencia con el trámite fue muy recomendado,Positivo,0
en general la atención fue frustrante,Negativo,1
en general la experiencia fue muy recomendado,Positivo,0
en general el producto fue mala experiencia,Negativo,1
la verdad la experiencia fue cumple totalmente,Positivo,0
la compra estuvo muy buena atención,Positivo,0
el trámite estuvo me dejó inconforme,Negativo,1
la aplicación estuvo super bacano,Positivo,0
en general la compra fue todo salió perfecto,Positivo,0
mi experiencia con la atención fue me fue muy bien,Positivo,0
en general la plataforma fue todo salió bien,Positivo,0
la atención fue no sirve,Negativo,1
el sistema estuvo una pérdida de tiempo,Negativo,1
la verdad el servicio fue muy satisfecho,Positivo,0
la atención estuvo una maravilla,Positivo,0
lamentablemente la atención fue me dejó inconforme,Negativo,1
lamentablemente la atención fue fue un caos,Negativo,1
en general el servicio fue recomendadísimo,Positivo,0
la experiencia fue una chimba,Positivo,0
el servicio estuvo muy satisfecho,Positivo,0
el sistema estuvo terrible,Negativo,1
mi experiencia con la experiencia fue muy mal hecho,Negativo,1
mi experiencia con la atención fue muy bien hecho,Positivo,0
lamentablemente el producto fue muy desordenado,Negativo,1
lamentablemente el trámite fue muy malo,Negativo,1
el producto fue nada recomendable,Negativo,1
mi experiencia con la experiencia fue cumple totalmente,Positivo,0
mi experiencia con el servicio fue me dejó contento,Positivo,0
el trámite fue me pareció genial,Positivo,0
la compra estuvo todo salió excelente,Positivo,0
la verdad la atención fue cumple totalmente,Positivo,0
en general el proceso fue me dejó contento,Positivo,0
el trámite fue una nota,Positivo,0
en general el servicio fue terrible,Negativo,1
mi experiencia con el producto fue una pérdida de tiempo,Negativo,1
en general el trámite fue no lo recomiendo,Negativo,1
la experiencia estuvo muy cumplido,Positivo,0
en general el proceso fue me sorprendió,Positivo,0
la verdad el producto fue me pareció genial,Positivo,0
en general el producto fue muy lento,Negativo,1
la verdad el servicio fue cumple totalmente,Positivo,0
mi experiencia con el trámite fue una nota,Positivo,0
en general la compra fue fatal,Negativo,1
la compra estuvo bacano,Positivo,0
el trámite estuvo funciona mal,Negativo,1
lamentablemente el sistema fue muy deficiente,Negativo,1
lamentablemente el servicio fue no cumplió,Negativo,1
en general el sistema fue muy buena atención,Positivo,0
la aplicación estuvo una porquería,Negativo,1
la compra fue terrible,Negativo,1
lamentablemente la aplicación fue pésimo,Negativo,1
la compra fue experiencia horrible,Negativo,1
el servicio fue me dejó contento,Positivo,0
en general la aplicación fue cumple totalmente,Positivo,0
el producto fue me sacó la piedra,Negativo,1
el producto fue muy mala atención,Negativo,1
lamentablemente la aplicación fue frustrante,Negativo,1
el producto estuvo mal atendido,Negativo,1
en general el servicio fue funciona mal,Negativo,1
mi experiencia con el trámite fue fatal,Negativo,1
mi experiencia con el trámite fue muy incumplido,Negativo,1
la verdad la atención fue quedé feliz,Positivo,0
en general el trámite fue genial,Positivo,0
mi experiencia con la atención fue muy buena experiencia,Positivo,0
en general el proceso fue no lo recomiendo,Negativo,1
el producto estuvo muy buena experiencia,Positivo,0
el trámite estuvo todo salió perfecto,Positivo,0
mi experiencia con el servicio fue quedé feliz,Positivo,0
la verdad el trámite fue todo perfecto,Positivo,0
lamentablemente el producto fue fue un caos,Negativo,1
mi experiencia con el servicio fue me fue muy bien,Positivo,0
mi experiencia con la atención fue muy recomendado,Positivo,0
el producto estuvo funciona perfecto,Positivo,0
la compra fue quedé feliz,Positivo,0
el trámite estuvo mala experiencia,Negativo,1
mi experiencia con el proceso fue funciona de maravilla,Positivo,0
en general la compra fue flojo,Negativo,1
en general la compra fue muy deficiente,Negativo,1
la verdad la experiencia fue genial,Positivo,0
el servicio estuvo no cumplió,Negativo,1
el sistema estuvo me decepcionó,Negativo,1
mi experiencia con la plataforma fue bacano,Positivo,0
la experiencia fue fue un caos,Negativo,1
la aplicación fue experiencia horrible,Negativo,1
la compra fue malísimo,Negativo,1
la aplicación estuvo muy bueno,Positivo,0
el sistema estuvo pésimo,Negativo,1
la experiencia estuvo fue un caos,Negativo,1
en general el sistema fue super bacano,Positivo,0
el servicio fue me encantó,Positivo,0
en general la aplicación fue funciona terrible,Negativo,1
lamentablemente el sistema fue muy regular,Negativo,1
mi experiencia con el trámite fue una pérdida de tiempo,Negativo,1
en general la experiencia fue una maravilla,Positivo,0
lamentablemente el trámite fue nada recomendable,Negativo,1
la verdad la atención fue vale la pena,Positivo,0
el proceso estuvo muy bien logrado,Positivo,0
el proceso fue muy deficiente,Negativo,1
el proceso estuvo me pareció genial,Positivo,0
el sistema fue una porquería,Negativo,1
la compra fue decepcionante,Negativo,1
el proceso estuvo un desastre,Negativo,1
en general la atención fue recomendadísimo,Positivo,0
la atención estuvo muy bien hecho,Positivo,0
mi experiencia con la experiencia fue bacano,Positivo,0
mi experiencia con la plataforma fue funciona terrible,Negativo,1
en general la plataforma fue rápido y eficiente,Positivo,0
en general el trámite fue no sirve,Negativo,1
el trámite estuvo recomendadísimo,Positivo,0
el producto fue me fue muy bien,Positivo,0
la plataforma fue muy desordenado,Negativo,1
en general la compra fue me dejó aburrido,Negativo,1
en general el proceso fue todo salió perfecto,Positivo,0
el servicio fue muy deficiente,Negativo,1
el trámite fue todo salió perfecto,Positivo,0
en general la plataforma fue un desastre,Negativo,1
en general el proceso fue muy recomendado,Positivo,0
en general la compra fue me encantó,Positivo,0
mi experiencia con el producto fue me decepcionó,Negativo,1
el sistema estuvo muy satisfecho,Positivo,0
la verdad la experiencia fue rápido y eficiente,Positivo,0
la compra estuvo funciona perfecto,Positivo,0
el sistema fue mala experiencia,Negativo,1
mi experiencia con la aplicación fue muy buena atención,Positivo,0
lamentablemente la atención fue muy lento,Negativo,1
mi experiencia con el sistema fue todo salió perfecto,Positivo,0
el proceso estuvo vale la pena,Positivo,0
la compra fue me encantó,Positivo,0
el trámite estuvo funciona de maravilla,Positivo,0
el servicio fue bacano,Positivo,0
en general la aplicación fue muy buena experiencia,Positivo,0
mi experiencia con la aplicación fue vale la pena,Positivo,0
lamentablemente el proceso fue terrible,Negativo,1
la verdad el producto fue me encantó,Positivo,0
la aplicación estuvo de lo mejor,Positivo,0
el trámite fue experiencia horrible,Negativo,1
lamentablemente el servicio fue muy lento,Negativo,1
en general la atención fue todo perfecto,Positivo,0
la verdad la experiencia fue todo perfecto,Positivo,0
mi experiencia con la aplicación fue me pareció genial,Positivo,0
el sistema estuvo una nota,Positivo,0
en general la atención fue fue un caos,Negativo,1
en general la plataforma fue me fue muy bien,Positivo,0
en general el sistema fue quedé feliz,Positivo,0
la atención fue bacano,Positivo,0
la verdad la atención fue una chimba,Positivo,0
el sistema fue fue un caos,Negativo,1
la plataforma estuvo muy incumplido,Negativo,1
mi experiencia con el trámite fue de lo mejor,Positivo,0
la aplicación estuvo recomendadísimo,Positivo,0
la experiencia estuvo muy mala atención,Negativo,1
la experiencia estuvo de primera,Positivo,0
en general el producto fue pésimo,Negativo,1
en general la atención fue vale la pena,Positivo,0
la aplicación estuvo muy cumplido,Positivo,0
la plataforma estuvo no lo recomiendo,Negativo,1
en general el trámite fue muy mal hecho,Negativo,1
la experiencia fue me dejó inconforme,Negativo,1
lamentablemente el proceso fue no sirve,Negativo,1
el proceso estuvo no cumplió,Negativo,1
en general el sistema fue excelente,Positivo,0
mi experiencia con la experiencia fue muy buena experiencia,Positivo,0
mi experiencia con el proceso fue me sacó la piedra,Negativo,1
la aplicación fue de primera,Positivo,0
el sistema fue cumple totalmente,Positivo,0
la verdad la experiencia fue me sorprendió,Positivo,0
en general la plataforma fue muy bien hecho,Positivo,0
la experiencia estuvo una nota,Positivo,0
en general el trámite fue no cumplió,Negativo,1
en general la experiencia fue muy malo,Negativo,1
en general el proceso fue muy satisfecho,Positivo,0
el producto estuvo todo perfecto,Positivo,0
mi experiencia con el servicio fue mal atendido,Negativo,1
mi experiencia con la experiencia fue fue un caos,Negativo,1
mi experiencia con la atención fue muy mal hecho,Negativo,1
la compra estuvo muy recomendado,Positivo,0
mi experiencia con el trámite fue muy buena experiencia,Positivo,0
la atención estuvo todo perfecto,Positivo,0
la experiencia fue recomendadísimo,Positivo,0
el trámite fue decepcionante,Negativo,1
el servicio estuvo funciona mal,Negativo,1
el sistema estuvo me fue mal,Negativo,1
mi experiencia con la compra fue decepcionante,Negativo,1
el servicio estuvo muy regular,Negativo,1
la plataforma estuvo me sacó la piedra,Negativo,1
mi experiencia con el producto fue muy recomendado,Positivo,0
en general la experiencia fue mala experiencia,Negativo,1
el servicio estuvo muy incumplido,Negativo,1
la plataforma estuvo muy buena atención,Positivo,0
la aplicación estuvo muy satisfecho,Positivo,0
el servicio estuvo un desastre,Negativo,1
en general el trámite fue me fue mal,Negativo,1
mi experiencia con la aplicación fue excelente,Positivo,0
la plataforma estuvo mal atendido,Negativo,1
la experiencia fue muy cumplido,Positivo,0
en general la atención fue no lo recomiendo,Negativo,1
mi experiencia con el proceso fue experiencia horrible,Negativo,1
la verdad la atención fue me sorprendió,Positivo,0
el servicio fue decepcionante,Negativo,1
la verdad el proceso fue me gustó mucho,Positivo,0
la plataforma fue super bacano,Positivo,0
el trámite estuvo me decepcionó,Negativo,1
en general el sistema fue mala experiencia,Negativo,1
en general el producto fue muy bien logrado,Positivo,0
lamentablemente el servicio fue funciona terrible,Negativo,1
en general el sistema fue funciona de maravilla,Positivo,0
el proceso estuvo mala experiencia,Negativo,1
en general la compra fue muy cumplido,Positivo,0
el producto fue malísimo,Negativo,1
el servicio estuvo no sirve,Negativo,1
en general la aplicación fue muy cumplido,Positivo,0
el proceso estuvo fatal,Negativo,1
la atención estuvo me dejó contento,Positivo,0
la compra fue mala experiencia,Negativo,1
en general la experiencia fue recomendadísimo,Positivo,0
en general el servicio fue muy bueno,Positivo,0
el servicio fue me sacó la piedra,Negativo,1
lamentablemente la plataforma fue muy deficiente,Negativo,1
en general el proceso fue muy regular,Negativo,1
el producto fue muy incumplido,Negativo,1
la compra fue funciona de maravilla,Positivo,0
el servicio fue mala experiencia,Negativo,1
en general el proceso fue decepcionante,Negativo,1
la compra estuvo muy cumplido,Positivo,0
el trámite fue muy satisfecho,Positivo,0
mi experiencia con el trámite fue excelente,Positivo,0
el servicio estuvo muy buena experiencia,Positivo,0
la verdad la plataforma fue genial,Positivo,0
el sistema estuvo muy recomendado,Positivo,0
en general la plataforma fue muy satisfecho,Positivo,0
el proceso fue funciona de maravilla,Positivo,0
el servicio fue funciona perfecto,Positivo,0
en general la experiencia fue funciona terrible,Negativo,1
mi experiencia con el sistema fue me gustó mucho,Positivo,0
el producto fue muy desordenado,Negativo,1
en general la plataforma fue muy buena atención,Positivo,0
en general el proceso fue me sacó la piedra,Negativo,1
lamentablemente la experiencia fue no cumplió,Negativo,1
el proceso estuvo todo salió perfecto,Positivo,0
en general el servicio fue de primera,Positivo,0
mi experiencia con el producto fue funciona terrible,Negativo,1
la verdad el sistema fue muy bien logrado,Positivo,0
